,Arsenal,Aston Villa,Burnley,Chelsea,Crystal Palace,Everton,Hull,Leicester,Liverpool,Man City,Man United,Newcastle,QPR,Southampton,Stoke,Sunderland,Swansea,Tottenham,West Brom,West Ham
24,"[8, 2, 14, 24, 44, 10, 35]","[3, 3, 18, 29, 24, 6, 22]","[3, 5, 16, 23, 24, 8, 20]","[11, 0, 13, 18, 47, 11, 47]","[2, 1, 21, 38, 30, 3, 13]","[6, 3, 15, 29, 34, 9, 24]","[5, 3, 16, 31, 24, 8, 22]","[5, 2, 17, 23, 35, 7, 24]","[5, 2, 17, 24, 43, 7, 34]","[11, 0, 13, 23, 52, 11, 42]","[6, 1, 17, 21, 50, 7, 27]","[5, 1, 18, 35, 30, 6, 22]","[3, 2, 19, 32, 31, 5, 14]","[11, 2, 11, 18, 42, 13, 41]","[6, 0, 18, 28, 38, 6, 25]","[2, 5, 17, 41, 19, 7, 21]","[6, 2, 16, 30, 31, 8, 35]","[4, 2, 18, 34, 36, 6, 21]","[9, 2, 13, 33, 25, 11, 38]","[6, 1, 17, 27, 35, 7, 21]"
25,"[8, 2, 15, 45, 26, 10, 35]","[3, 4, 18, 24, 29, 7, 22]","[3, 5, 17, 26, 24, 8, 20]","[11, 0, 14, 49, 19, 11, 47]","[2, 1, 22, 30, 39, 3, 13]","[6, 3, 16, 35, 30, 9, 24]","[5, 3, 17, 24, 32, 8, 22]","[5, 2, 18, 35, 25, 7, 24]","[5, 2, 18, 44, 27, 7, 34]","[11, 0, 14, 54, 25, 11, 42]","[6, 1, 18, 52, 22, 7, 27]","[6, 1, 18, 32, 35, 7, 22]","[3, 2, 20, 31, 33, 5, 14]","[11, 2, 12, 43, 19, 13, 41]","[6, 0, 19, 40, 29, 6, 25]","[2, 6, 17, 19, 41, 8, 21]","[6, 2, 17, 32, 32, 8, 35]","[4, 2, 19, 38, 35, 6, 21]","[9, 2, 14, 25, 35, 11, 38]","[6, 1, 18, 36, 29, 7, 21]"
26,"[9, 2, 15, 27, 45, 11, 35]","[3, 4, 19, 30, 25, 7, 22]","[3, 5, 18, 24, 28, 8, 20]","[11, 1, 14, 19, 49, 12, 47]","[2, 1, 23, 40, 31, 3, 13]","[6, 3, 17, 31, 37, 9, 24]","[5, 3, 18, 32, 27, 8, 22]","[5, 2, 19, 27, 38, 7, 24]","[5, 2, 19, 30, 45, 7, 34]","[12, 0, 14, 28, 54, 12, 42]","[6, 1, 19, 24, 53, 7, 27]","[6, 1, 19, 35, 33, 7, 22]","[3, 2, 21, 33, 33, 5, 14]","[11, 2, 13, 19, 44, 13, 41]","[6, 0, 20, 29, 41, 6, 25]","[2, 7, 17, 41, 19, 9, 21]","[6, 2, 18, 33, 35, 8, 35]","[4, 2, 20, 35, 41, 6, 21]","[9, 3, 14, 35, 25, 12, 38]","[6, 1, 19, 31, 37, 7, 21]"
27,"[9, 2, 16, 47, 30, 11, 35]","[4, 4, 19, 26, 30, 8, 22]","[3, 5, 19, 29, 26, 8, 20]","[11, 1, 15, 50, 21, 12, 47]","[2, 2, 23, 31, 40, 4, 13]","[6, 3, 18, 37, 32, 9, 24]","[5, 3, 19, 28, 33, 8, 22]","[5, 2, 20, 39, 29, 7, 24]","[5, 2, 20, 45, 33, 7, 34]","[12, 0, 15, 58, 29, 12, 42]","[6, 1, 20, 54, 25, 7, 27]","[6, 1, 20, 34, 36, 7, 22]","[3, 2, 22, 34, 36, 5, 14]","[11, 2, 14, 44, 20, 13, 41]","[6, 0, 21, 42, 31, 6, 25]","[3, 7, 17, 20, 41, 10, 21]","[7, 2, 18, 36, 33, 9, 35]","[4, 2, 21, 43, 36, 6, 21]","[9, 3, 15, 27, 38, 12, 38]","[6, 1, 20, 38, 32, 7, 21]"
28,"[9, 2, 17, 32, 49, 11, 35]","[4, 4, 20, 30, 27, 8, 22]","[3, 5, 20, 28, 31, 8, 20]","[12, 1, 15, 23, 50, 13, 47]","[2, 2, 24, 40, 34, 4, 13]","[6, 3, 19, 32, 40, 9, 24]","[5, 3, 20, 33, 30, 8, 22]","[5, 2, 21, 29, 41, 7, 24]","[6, 2, 20, 34, 45, 8, 34]","[13, 0, 15, 30, 58, 13, 42]","[6, 2, 20, 25, 54, 8, 27]","[6, 1, 21, 37, 38, 7, 22]","[3, 2, 23, 37, 36, 5, 14]","[11, 2, 15, 23, 45, 13, 41]","[6, 0, 22, 32, 43, 6, 25]","[3, 8, 17, 41, 20, 11, 21]","[7, 2, 19, 34, 40, 9, 35]","[4, 2, 22, 38, 44, 6, 21]","[9, 3, 16, 38, 29, 12, 38]","[6, 1, 21, 32, 40, 7, 21]"
29,"[9, 2, 18, 51, 33, 11, 35]","[4, 4, 21, 27, 31, 8, 22]","[3, 5, 21, 34, 31, 8, 20]","[12, 1, 16, 51, 24, 13, 47]","[2, 3, 24, 34, 40, 5, 13]","[6, 3, 20, 42, 35, 9, 24]","[5, 3, 21, 33, 34, 8, 22]","[6, 2, 21, 42, 29, 8, 24]","[7, 2, 20, 46, 34, 9, 34]","[13, 0, 16, 61, 31, 13, 42]","[6, 2, 21, 55, 26, 8, 27]","[6, 1, 22, 39, 40, 7, 22]","[3, 2, 24, 37, 39, 5, 14]","[12, 2, 15, 46, 23, 14, 41]","[7, 0, 22, 44, 32, 7, 25]","[3, 8, 18, 22, 44, 11, 21]","[7, 2, 20, 41, 35, 9, 35]","[4, 2, 23, 45, 40, 6, 21]","[9, 3, 17, 30, 39, 12, 38]","[6, 1, 22, 41, 33, 7, 21]"
30,"[9, 2, 19, 33, 53, 11, 35]","[4, 4, 22, 31, 28, 8, 22]","[3, 5, 22, 31, 36, 8, 20]","[12, 1, 17, 27, 56, 13, 47]","[2, 4, 24, 40, 34, 6, 13]","[6, 3, 21, 35, 44, 9, 24]","[5, 3, 22, 34, 34, 8, 22]","[6, 2, 22, 31, 44, 8, 24]","[8, 2, 20, 36, 46, 10, 34]","[13, 0, 17, 32, 62, 13, 42]","[7, 2, 21, 28, 55, 9, 27]","[6, 1, 23, 40, 41, 7, 22]","[3, 2, 25, 40, 40, 5, 14]","[12, 2, 16, 25, 47, 14, 41]","[7, 0, 23, 32, 47, 7, 25]","[3, 8, 19, 45, 24, 11, 21]","[8, 2, 20, 36, 41, 10, 35]","[5, 2, 23, 43, 45, 7, 21]","[9, 4, 17, 39, 30, 13, 38]","[6, 1, 23, 33, 43, 7, 21]"
31,"[10, 2, 19, 55, 33, 12, 35]","[4, 4, 23, 28, 36, 8, 22]","[3, 5, 23, 37, 34, 8, 20]","[13, 1, 17, 61, 27, 14, 47]","[2, 4, 25, 37, 42, 6, 13]","[7, 3, 21, 45, 35, 10, 24]","[5, 3, 23, 34, 37, 8, 22]","[6, 2, 23, 45, 34, 8, 24]","[8, 3, 20, 46, 36, 11, 34]","[13, 0, 18, 63, 33, 13, 42]","[7, 2, 22, 56, 29, 9, 27]","[7, 1, 23, 44, 40, 8, 22]","[4, 2, 25, 42, 40, 6, 14]","[13, 2, 16, 48, 25, 15, 41]","[8, 0, 23, 48, 32, 8, 25]","[3, 8, 20, 25, 46, 11, 21]","[8, 2, 21, 41, 38, 10, 35]","[5, 2, 24, 47, 46, 7, 21]","[9, 4, 18, 32, 41, 13, 38]","[6, 2, 23, 43, 33, 8, 21]"
32,"[10, 2, 20, 34, 57, 12, 35]","[4, 4, 24, 36, 30, 8, 22]","[3, 5, 24, 35, 38, 8, 20]","[13, 1, 18, 29, 62, 14, 47]","[3, 4, 25, 43, 37, 7, 13]","[7, 3, 22, 35, 46, 10, 24]","[5, 3, 24, 38, 35, 8, 22]","[6, 2, 24, 35, 47, 8, 24]","[9, 3, 20, 38, 46, 12, 34]","[13, 0, 19, 37, 64, 13, 42]","[7, 2, 23, 30, 58, 9, 27]","[7, 1, 24, 41, 45, 8, 22]","[4, 2, 26, 41, 44, 6, 14]","[13, 2, 17, 25, 49, 15, 41]","[8, 0, 24, 33, 49, 8, 25]","[3, 8, 21, 46, 27, 11, 21]","[9, 2, 21, 39, 41, 11, 35]","[5, 2, 25, 48, 48, 7, 21]","[9, 5, 18, 41, 32, 14, 38]","[6, 2, 24, 35, 45, 8, 21]"
33,"[10, 2, 21, 59, 35, 12, 35]","[4, 4, 25, 30, 37, 8, 22]","[3, 5, 25, 38, 37, 8, 20]","[14, 1, 18, 63, 29, 15, 47]","[3, 4, 26, 40, 44, 7, 13]","[7, 3, 23, 46, 37, 10, 24]","[5, 3, 25, 35, 39, 8, 22]","[6, 2, 25, 49, 37, 8, 24]","[10, 3, 20, 47, 38, 13, 34]","[13, 0, 20, 65, 39, 13, 42]","[8, 2, 23, 59, 30, 10, 27]","[7, 1, 25, 45, 46, 8, 22]","[4, 2, 27, 45, 44, 6, 14]","[13, 2, 18, 50, 26, 15, 41]","[8, 0, 25, 51, 34, 8, 25]","[3, 8, 22, 28, 47, 11, 21]","[9, 2, 22, 43, 42, 11, 35]","[5, 2, 26, 48, 51, 7, 21]","[9, 5, 19, 33, 43, 14, 38]","[6, 2, 25, 45, 38, 8, 21]"
34,"[10, 2, 22, 37, 60, 12, 35]","[5, 4, 25, 41, 30, 9, 22]","[3, 5, 26, 37, 40, 8, 20]","[14, 1, 19, 32, 65, 15, 47]","[3, 4, 27, 44, 41, 7, 13]","[7, 3, 24, 37, 48, 10, 24]","[5, 4, 25, 39, 35, 9, 22]","[6, 2, 26, 37, 51, 8, 24]","[10, 3, 21, 39, 51, 13, 34]","[13, 0, 21, 39, 66, 13, 42]","[8, 2, 24, 32, 60, 10, 27]","[7, 1, 26, 46, 48, 8, 22]","[4, 2, 28, 48, 46, 6, 14]","[13, 2, 19, 26, 51, 15, 41]","[8, 0, 26, 34, 52, 8, 25]","[3, 8, 23, 47, 29, 11, 21]","[10, 2, 22, 43, 43, 12, 35]","[5, 3, 26, 51, 48, 8, 21]","[9, 5, 20, 43, 36, 14, 38]","[6, 2, 26, 39, 47, 8, 21]"
35,"[10, 2, 23, 62, 38, 12, 35]","[5, 4, 26, 31, 44, 9, 22]","[3, 5, 27, 40, 38, 8, 20]","[15, 1, 19, 66, 32, 16, 47]","[3, 4, 28, 43, 45, 7, 13]","[7, 3, 25, 50, 38, 10, 24]","[5, 4, 26, 36, 42, 9, 22]","[6, 2, 27, 54, 41, 8, 24]","[10, 4, 21, 51, 39, 14, 34]","[13, 0, 22, 67, 41, 13, 42]","[8, 2, 25, 60, 33, 10, 27]","[7, 1, 27, 48, 47, 8, 22]","[4, 2, 29, 49, 51, 6, 14]","[13, 2, 20, 52, 28, 15, 41]","[8, 0, 27, 53, 36, 8, 25]","[3, 8, 24, 30, 48, 11, 21]","[10, 2, 23, 43, 45, 12, 35]","[5, 3, 27, 51, 52, 8, 21]","[10, 5, 20, 38, 43, 15, 38]","[6, 2, 27, 47, 41, 8, 21]"
36,"[11, 2, 23, 39, 62, 13, 35]","[6, 4, 26, 45, 31, 10, 22]","[3, 5, 28, 38, 41, 8, 20]","[15, 2, 19, 32, 66, 17, 47]","[3, 4, 29, 49, 44, 7, 13]","[7, 3, 26, 39, 51, 10, 24]","[5, 4, 27, 42, 38, 9, 22]","[6, 2, 28, 44, 56, 8, 24]","[10, 4, 22, 39, 52, 14, 34]","[13, 0, 23, 43, 71, 13, 42]","[8, 2, 26, 33, 63, 10, 27]","[7, 1, 28, 47, 50, 8, 22]","[4, 2, 30, 52, 51, 6, 14]","[13, 2, 21, 29, 54, 15, 41]","[8, 0, 28, 37, 54, 8, 25]","[4, 8, 24, 50, 30, 12, 21]","[10, 2, 24, 48, 45, 12, 35]","[5, 3, 28, 54, 53, 8, 21]","[11, 5, 20, 44, 38, 16, 38]","[6, 3, 27, 41, 47, 9, 21]"
37,"[11, 2, 24, 65, 40, 13, 35]","[6, 4, 27, 33, 48, 10, 22]","[4, 5, 28, 42, 38, 9, 20]","[15, 2, 20, 69, 33, 17, 47]","[3, 4, 30, 44, 50, 7, 13]","[7, 3, 27, 53, 42, 10, 24]","[6, 4, 27, 40, 42, 10, 22]","[7, 2, 28, 57, 44, 9, 24]","[10, 4, 23, 53, 40, 14, 34]","[14, 0, 23, 72, 43, 14, 42]","[8, 2, 27, 65, 34, 10, 27]","[7, 1, 29, 50, 50, 8, 22]","[4, 2, 31, 51, 58, 6, 14]","[13, 2, 22, 54, 31, 15, 41]","[8, 0, 29, 54, 39, 8, 25]","[4, 9, 24, 30, 50, 13, 21]","[11, 2, 24, 46, 48, 13, 35]","[5, 3, 29, 53, 57, 8, 21]","[11, 5, 21, 39, 45, 16, 38]","[6, 3, 28, 47, 42, 9, 21]"
38,"[11, 2, 25, 41, 66, 13, 35]","[6, 4, 28, 49, 39, 10, 22]","[5, 5, 28, 39, 42, 10, 20]","[15, 2, 21, 33, 72, 17, 47]","[3, 4, 31, 53, 45, 7, 13]","[7, 3, 28, 44, 54, 10, 24]","[6, 4, 28, 42, 42, 10, 22]","[7, 3, 28, 44, 57, 10, 24]","[10, 4, 24, 41, 59, 14, 34]","[14, 0, 24, 47, 74, 14, 42]","[8, 3, 27, 34, 65, 11, 27]","[7, 1, 30, 51, 52, 8, 22]","[4, 2, 32, 59, 56, 6, 14]","[13, 2, 23, 31, 56, 15, 41]","[8, 1, 29, 39, 54, 9, 25]","[4, 9, 25, 51, 33, 13, 21]","[11, 2, 25, 48, 47, 13, 35]","[6, 3, 29, 58, 53, 9, 21]","[11, 5, 22, 46, 43, 16, 38]","[6, 3, 29, 42, 49, 9, 21]"
