,Arsenal,Aston Villa,Bournemouth,Chelsea,Crystal Palace,Everton,Leicester,Liverpool,Man City,Man United,Newcastle,Norwich,Southampton,Stoke,Sunderland,Swansea,Tottenham,Watford,West Brom,West Ham
24,"[10, 2, 12, 18, 40, 12, 46]","[3, 2, 19, 43, 22, 5, 12]","[3, 1, 20, 41, 37, 4, 15]","[3, 0, 21, 36, 45, 3, 21]","[4, 3, 17, 27, 25, 7, 16]","[4, 2, 18, 36, 40, 6, 22]","[7, 2, 15, 26, 43, 9, 41]","[7, 2, 15, 25, 37, 9, 29]","[8, 2, 14, 29, 50, 10, 38]","[10, 4, 10, 21, 30, 14, 44]","[4, 2, 18, 30, 40, 6, 18]","[3, 1, 20, 41, 36, 4, 13]","[6, 2, 16, 26, 45, 8, 30]","[6, 1, 17, 28, 28, 7, 24]","[3, 2, 19, 27, 32, 5, 17]","[6, 2, 16, 28, 26, 8, 21]","[6, 3, 15, 24, 40, 9, 33]","[5, 4, 15, 28, 24, 9, 25]","[6, 3, 15, 30, 21, 9, 25]","[7, 1, 16, 35, 41, 8, 27]"
25,"[11, 2, 12, 43, 18, 13, 46]","[3, 2, 20, 23, 46, 5, 12]","[3, 1, 21, 37, 43, 4, 15]","[3, 0, 22, 45, 37, 3, 21]","[4, 3, 18, 27, 28, 7, 16]","[4, 2, 19, 41, 37, 6, 22]","[7, 2, 16, 46, 28, 9, 41]","[7, 2, 16, 40, 26, 9, 29]","[8, 3, 14, 50, 29, 11, 38]","[10, 5, 10, 30, 21, 15, 44]","[5, 2, 18, 41, 30, 7, 18]","[3, 1, 21, 37, 43, 4, 13]","[7, 2, 16, 46, 26, 9, 30]","[6, 2, 17, 28, 28, 8, 24]","[3, 2, 20, 34, 33, 5, 17]","[6, 2, 17, 26, 29, 8, 21]","[6, 3, 16, 41, 25, 9, 33]","[5, 4, 16, 25, 30, 9, 25]","[6, 3, 16, 21, 32, 9, 25]","[7, 1, 17, 41, 37, 8, 27]"
26,"[11, 2, 13, 19, 45, 13, 46]","[3, 2, 21, 46, 27, 5, 12]","[3, 1, 22, 45, 39, 4, 15]","[3, 1, 22, 37, 45, 4, 21]","[4, 3, 19, 29, 28, 7, 16]","[4, 2, 20, 40, 44, 6, 22]","[8, 2, 16, 31, 46, 10, 41]","[7, 2, 17, 30, 41, 9, 29]","[8, 3, 15, 29, 52, 11, 38]","[10, 5, 11, 23, 31, 15, 44]","[5, 2, 19, 31, 46, 7, 18]","[3, 1, 22, 43, 38, 4, 13]","[7, 2, 17, 27, 49, 9, 30]","[7, 2, 17, 29, 28, 9, 24]","[4, 2, 20, 34, 34, 6, 17]","[6, 2, 18, 29, 27, 8, 21]","[6, 3, 17, 26, 42, 9, 33]","[5, 4, 17, 33, 27, 9, 25]","[6, 3, 17, 33, 22, 9, 25]","[7, 1, 18, 38, 45, 8, 27]"
27,"[11, 2, 14, 46, 20, 13, 46]","[3, 2, 22, 28, 47, 5, 12]","[4, 1, 22, 40, 45, 5, 15]","[3, 1, 23, 46, 39, 4, 21]","[4, 3, 20, 30, 30, 7, 16]","[4, 2, 21, 45, 41, 6, 22]","[9, 2, 16, 49, 31, 11, 41]","[7, 2, 18, 41, 32, 9, 29]","[8, 3, 16, 53, 31, 11, 38]","[10, 5, 12, 32, 24, 15, 44]","[5, 2, 20, 48, 32, 7, 18]","[3, 1, 23, 38, 45, 4, 13]","[7, 2, 18, 49, 28, 9, 30]","[7, 2, 18, 28, 31, 9, 24]","[4, 2, 21, 35, 37, 6, 17]","[6, 2, 19, 28, 31, 8, 21]","[7, 3, 17, 44, 26, 10, 33]","[6, 4, 17, 28, 33, 10, 25]","[6, 3, 18, 24, 35, 9, 25]","[7, 2, 18, 45, 38, 9, 27]"
28,"[12, 2, 14, 22, 46, 14, 46]","[3, 2, 23, 48, 29, 5, 12]","[4, 1, 23, 47, 41, 5, 15]","[3, 2, 23, 39, 46, 5, 21]","[4, 4, 20, 30, 30, 8, 16]","[5, 2, 21, 42, 45, 7, 22]","[9, 2, 17, 34, 51, 11, 41]","[7, 2, 19, 32, 44, 9, 29]","[8, 4, 16, 31, 53, 12, 38]","[10, 5, 13, 25, 34, 15, 44]","[5, 2, 21, 32, 49, 7, 18]","[3, 1, 24, 47, 39, 4, 13]","[7, 2, 19, 29, 51, 9, 30]","[7, 3, 18, 31, 28, 10, 24]","[4, 2, 22, 38, 38, 6, 17]","[6, 3, 19, 31, 28, 9, 21]","[7, 3, 18, 28, 45, 10, 33]","[6, 4, 18, 35, 30, 10, 25]","[6, 3, 19, 35, 25, 9, 25]","[7, 3, 18, 38, 45, 10, 27]"
29,"[12, 2, 15, 46, 26, 14, 46]","[3, 2, 24, 29, 50, 5, 12]","[4, 1, 24, 41, 49, 5, 15]","[4, 2, 23, 49, 39, 6, 21]","[4, 4, 21, 30, 31, 8, 16]","[5, 3, 21, 45, 42, 8, 22]","[9, 2, 18, 51, 35, 11, 41]","[8, 2, 19, 45, 32, 10, 29]","[8, 4, 17, 55, 32, 12, 38]","[10, 5, 14, 34, 27, 15, 44]","[5, 2, 22, 49, 33, 7, 18]","[3, 1, 25, 39, 50, 4, 13]","[7, 2, 20, 51, 30, 9, 30]","[7, 3, 19, 32, 34, 10, 24]","[4, 2, 23, 39, 42, 6, 17]","[6, 3, 20, 29, 33, 9, 21]","[7, 3, 19, 46, 29, 10, 33]","[6, 4, 19, 30, 37, 10, 25]","[6, 3, 20, 27, 37, 9, 25]","[7, 3, 19, 46, 39, 10, 27]"
30,"[12, 2, 16, 29, 49, 14, 46]","[3, 2, 25, 51, 32, 5, 12]","[4, 2, 24, 49, 41, 6, 15]","[5, 2, 23, 40, 49, 7, 21]","[4, 4, 22, 31, 34, 8, 16]","[5, 3, 22, 45, 48, 8, 22]","[10, 2, 18, 36, 51, 12, 41]","[8, 2, 20, 32, 47, 10, 29]","[8, 4, 18, 34, 57, 12, 38]","[10, 5, 15, 30, 37, 15, 44]","[5, 2, 23, 34, 51, 7, 18]","[3, 1, 26, 51, 42, 4, 13]","[8, 2, 20, 31, 51, 10, 30]","[7, 3, 20, 35, 34, 10, 24]","[4, 2, 24, 46, 41, 6, 17]","[6, 3, 21, 35, 30, 9, 21]","[7, 3, 20, 32, 47, 10, 33]","[6, 4, 20, 37, 31, 10, 25]","[6, 3, 21, 37, 30, 9, 25]","[7, 3, 20, 42, 47, 10, 27]"
31,"[12, 3, 16, 49, 29, 15, 46]","[3, 3, 25, 32, 51, 6, 12]","[4, 2, 25, 42, 50, 6, 15]","[5, 3, 23, 49, 40, 8, 21]","[4, 4, 23, 35, 32, 8, 16]","[6, 3, 22, 51, 45, 9, 22]","[10, 2, 19, 52, 37, 12, 41]","[8, 2, 21, 52, 36, 10, 29]","[9, 4, 18, 58, 34, 13, 38]","[11, 5, 15, 38, 30, 16, 44]","[5, 2, 24, 51, 37, 7, 18]","[3, 1, 27, 42, 54, 4, 13]","[8, 3, 20, 51, 31, 11, 30]","[7, 3, 21, 34, 38, 10, 24]","[4, 2, 25, 42, 50, 6, 17]","[6, 3, 22, 31, 36, 9, 21]","[8, 3, 20, 50, 32, 11, 33]","[6, 4, 21, 31, 38, 10, 25]","[6, 3, 22, 30, 38, 9, 25]","[7, 3, 21, 48, 44, 10, 27]"
32,"[13, 3, 16, 31, 49, 16, 46]","[3, 3, 26, 51, 34, 6, 12]","[4, 2, 26, 52, 43, 6, 15]","[5, 3, 24, 42, 50, 8, 21]","[4, 4, 24, 34, 38, 8, 16]","[6, 3, 23, 48, 52, 9, 22]","[10, 2, 20, 40, 53, 12, 41]","[8, 2, 22, 36, 54, 10, 29]","[9, 4, 19, 34, 61, 13, 38]","[11, 5, 16, 31, 39, 16, 44]","[5, 2, 25, 38, 56, 7, 18]","[3, 1, 28, 54, 44, 4, 13]","[9, 3, 20, 32, 51, 12, 30]","[7, 3, 22, 38, 37, 10, 24]","[4, 2, 26, 52, 44, 6, 17]","[6, 3, 23, 37, 33, 9, 21]","[8, 3, 21, 34, 51, 11, 33]","[6, 4, 22, 40, 32, 10, 25]","[7, 3, 22, 39, 30, 10, 25]","[7, 3, 22, 44, 49, 10, 27]"
33,"[13, 3, 17, 51, 34, 16, 46]","[3, 3, 27, 35, 53, 6, 12]","[4, 3, 26, 43, 52, 7, 15]","[5, 3, 25, 52, 43, 8, 21]","[4, 4, 25, 40, 36, 8, 16]","[6, 3, 24, 52, 49, 9, 22]","[10, 2, 21, 54, 42, 12, 41]","[9, 2, 22, 60, 36, 11, 29]","[9, 5, 19, 61, 34, 14, 38]","[11, 5, 17, 40, 33, 16, 44]","[5, 2, 26, 56, 39, 7, 18]","[3, 1, 29, 44, 55, 4, 13]","[9, 3, 21, 51, 34, 12, 30]","[7, 3, 23, 40, 39, 10, 24]","[4, 2, 27, 44, 53, 6, 17]","[6, 3, 24, 35, 38, 9, 21]","[8, 3, 22, 51, 35, 11, 33]","[6, 4, 23, 32, 41, 10, 25]","[7, 3, 23, 32, 41, 10, 25]","[7, 3, 23, 51, 46, 10, 27]"
34,"[13, 3, 18, 36, 53, 16, 46]","[3, 3, 28, 53, 39, 6, 12]","[4, 3, 27, 55, 44, 7, 15]","[6, 3, 25, 47, 52, 9, 21]","[4, 4, 26, 38, 42, 8, 16]","[6, 3, 25, 50, 53, 9, 22]","[11, 2, 21, 43, 54, 13, 41]","[9, 2, 23, 38, 61, 11, 29]","[10, 5, 19, 38, 61, 15, 38]","[11, 5, 18, 33, 41, 16, 44]","[5, 2, 27, 39, 57, 7, 18]","[3, 1, 30, 55, 45, 4, 13]","[9, 3, 22, 36, 52, 12, 30]","[7, 3, 24, 40, 41, 10, 24]","[4, 2, 28, 54, 45, 6, 17]","[6, 3, 25, 40, 38, 9, 21]","[9, 3, 22, 37, 51, 12, 33]","[6, 4, 24, 41, 36, 10, 25]","[7, 4, 23, 41, 32, 11, 25]","[7, 3, 24, 49, 53, 10, 27]"
35,"[14, 3, 18, 55, 36, 17, 46]","[3, 3, 29, 39, 54, 6, 12]","[4, 3, 28, 44, 58, 7, 15]","[6, 3, 26, 52, 48, 9, 21]","[4, 4, 27, 43, 39, 8, 16]","[6, 4, 25, 53, 50, 10, 22]","[12, 2, 21, 55, 43, 14, 41]","[9, 2, 24, 63, 41, 11, 29]","[11, 5, 19, 64, 38, 16, 38]","[12, 5, 18, 42, 33, 17, 44]","[5, 2, 28, 59, 42, 7, 18]","[4, 1, 30, 46, 55, 5, 13]","[9, 3, 23, 52, 37, 12, 30]","[7, 3, 25, 43, 41, 10, 24]","[4, 2, 29, 46, 55, 6, 17]","[6, 3, 26, 40, 42, 9, 21]","[9, 3, 23, 52, 38, 12, 33]","[7, 4, 24, 37, 41, 11, 25]","[7, 4, 24, 33, 43, 11, 25]","[7, 3, 25, 55, 51, 10, 27]"
36,"[14, 3, 19, 39, 58, 17, 46]","[3, 3, 30, 54, 40, 6, 12]","[4, 3, 29, 60, 45, 7, 15]","[6, 3, 27, 52, 53, 9, 21]","[4, 4, 28, 39, 45, 8, 16]","[6, 4, 26, 50, 57, 10, 22]","[13, 2, 21, 45, 55, 15, 41]","[9, 2, 25, 43, 64, 11, 29]","[11, 5, 20, 39, 65, 16, 38]","[12, 5, 19, 33, 45, 17, 44]","[5, 2, 29, 43, 62, 7, 18]","[4, 1, 31, 55, 47, 5, 13]","[9, 3, 24, 38, 53, 12, 30]","[7, 3, 26, 42, 47, 10, 24]","[5, 2, 29, 58, 46, 7, 17]","[6, 3, 27, 42, 43, 9, 21]","[10, 3, 23, 42, 52, 13, 33]","[7, 4, 25, 42, 40, 11, 25]","[7, 4, 25, 43, 35, 11, 25]","[7, 3, 26, 53, 57, 10, 27]"
37,"[14, 4, 19, 58, 39, 18, 46]","[3, 3, 31, 42, 57, 6, 12]","[4, 3, 30, 46, 62, 7, 15]","[6, 3, 28, 55, 55, 9, 21]","[4, 4, 29, 45, 40, 8, 16]","[6, 4, 27, 58, 53, 10, 22]","[13, 2, 22, 56, 46, 15, 41]","[9, 2, 26, 65, 46, 11, 29]","[11, 5, 21, 67, 43, 16, 38]","[13, 5, 19, 46, 33, 18, 44]","[5, 2, 30, 64, 45, 7, 18]","[4, 1, 32, 47, 56, 5, 13]","[9, 3, 25, 57, 40, 12, 30]","[7, 3, 27, 47, 46, 10, 24]","[5, 2, 30, 47, 59, 7, 17]","[6, 3, 28, 43, 46, 9, 21]","[10, 3, 24, 54, 44, 13, 33]","[7, 4, 26, 40, 44, 11, 25]","[7, 4, 26, 36, 44, 11, 25]","[8, 3, 26, 60, 53, 11, 27]"
38,"[14, 4, 20, 41, 60, 18, 46]","[3, 3, 32, 57, 46, 6, 12]","[4, 3, 31, 63, 49, 7, 15]","[6, 3, 29, 56, 56, 9, 21]","[4, 4, 30, 41, 49, 8, 16]","[6, 4, 28, 53, 61, 10, 22]","[13, 2, 23, 47, 57, 15, 41]","[9, 2, 27, 47, 66, 11, 29]","[11, 5, 22, 44, 68, 16, 38]","[13, 5, 20, 35, 49, 18, 44]","[5, 3, 30, 45, 64, 8, 18]","[4, 1, 33, 56, 50, 5, 13]","[9, 3, 26, 42, 58, 12, 30]","[7, 3, 28, 47, 49, 10, 24]","[5, 2, 31, 61, 49, 7, 17]","[6, 3, 29, 50, 44, 9, 21]","[10, 3, 25, 45, 59, 13, 33]","[7, 4, 27, 46, 44, 11, 25]","[7, 4, 27, 45, 37, 11, 25]","[8, 3, 27, 54, 62, 11, 27]"
