,Arsenal,Bournemouth,Burnley,Chelsea,Crystal Palace,Everton,Hull,Leicester,Liverpool,Man City,Man United,Middlesbrough,Southampton,Stoke,Sunderland,Swansea,Tottenham,Watford,West Brom,West Ham
24,"[9, 2, 13, 25, 45, 11, 35]","[5, 1, 18, 32, 45, 6, 26]","[6, 1, 17, 24, 36, 7, 24]","[10, 0, 14, 23, 63, 10, 48]","[5, 0, 19, 31, 33, 5, 21]","[9, 0, 15, 20, 50, 9, 35]","[3, 0, 21, 45, 36, 3, 11]","[5, 2, 17, 35, 39, 7, 21]","[4, 2, 18, 28, 52, 6, 30]","[4, 2, 18, 31, 41, 6, 32]","[6, 4, 14, 16, 35, 10, 39]","[4, 5, 15, 27, 22, 9, 19]","[5, 5, 14, 27, 21, 10, 28]","[6, 2, 16, 30, 30, 8, 27]","[2, 2, 20, 38, 21, 4, 14]","[5, 2, 17, 41, 34, 7, 20]","[13, 1, 10, 13, 54, 14, 47]","[5, 2, 17, 32, 33, 7, 17]","[4, 1, 19, 27, 31, 5, 14]","[8, 1, 15, 37, 29, 9, 26]"
25,"[9, 2, 14, 46, 26, 11, 35]","[6, 1, 18, 46, 32, 7, 26]","[6, 1, 18, 36, 26, 7, 24]","[11, 0, 14, 64, 23, 11, 48]","[5, 0, 20, 35, 34, 5, 21]","[9, 0, 16, 50, 25, 9, 35]","[3, 0, 22, 36, 48, 3, 11]","[5, 2, 18, 40, 37, 7, 21]","[4, 2, 19, 56, 30, 6, 30]","[4, 2, 19, 43, 32, 6, 32]","[6, 4, 15, 38, 17, 10, 39]","[4, 5, 16, 23, 28, 9, 19]","[5, 5, 15, 22, 29, 10, 28]","[6, 2, 17, 31, 31, 8, 27]","[2, 2, 21, 23, 39, 4, 14]","[5, 2, 18, 35, 42, 7, 20]","[13, 1, 11, 55, 14, 14, 47]","[5, 2, 18, 34, 38, 7, 17]","[4, 1, 20, 33, 28, 5, 14]","[8, 1, 16, 31, 40, 9, 26]"
26,"[9, 2, 15, 31, 47, 11, 35]","[6, 1, 19, 33, 49, 7, 26]","[6, 1, 19, 26, 37, 7, 24]","[11, 0, 15, 26, 65, 11, 48]","[5, 0, 21, 38, 40, 5, 21]","[9, 0, 17, 25, 51, 9, 35]","[3, 0, 23, 48, 37, 3, 11]","[5, 2, 19, 38, 42, 7, 21]","[4, 3, 19, 30, 56, 7, 30]","[4, 2, 20, 34, 44, 6, 32]","[6, 4, 16, 18, 39, 10, 39]","[4, 5, 17, 30, 25, 9, 19]","[5, 5, 16, 29, 25, 10, 28]","[7, 2, 17, 32, 31, 9, 27]","[2, 2, 22, 39, 25, 4, 14]","[5, 2, 19, 42, 40, 7, 20]","[13, 1, 12, 15, 57, 14, 47]","[5, 2, 19, 39, 37, 7, 17]","[4, 1, 21, 29, 34, 5, 14]","[8, 1, 17, 41, 32, 9, 26]"
27,"[9, 2, 16, 48, 33, 11, 35]","[6, 1, 20, 51, 36, 7, 26]","[6, 1, 20, 38, 28, 7, 24]","[12, 0, 15, 66, 26, 12, 48]","[5, 0, 22, 43, 41, 5, 21]","[9, 0, 18, 53, 28, 9, 35]","[3, 0, 24, 37, 51, 3, 11]","[5, 2, 20, 42, 39, 7, 21]","[4, 3, 20, 59, 34, 7, 30]","[4, 2, 21, 46, 38, 6, 32]","[6, 4, 17, 41, 19, 10, 39]","[4, 5, 18, 25, 31, 9, 19]","[5, 6, 16, 25, 29, 11, 28]","[7, 2, 18, 32, 35, 9, 27]","[2, 2, 23, 25, 42, 4, 14]","[5, 2, 20, 41, 45, 7, 20]","[13, 1, 13, 57, 16, 14, 47]","[5, 2, 20, 37, 41, 7, 17]","[4, 1, 22, 34, 30, 5, 14]","[8, 1, 18, 34, 43, 9, 26]"
28,"[9, 2, 17, 34, 50, 11, 35]","[6, 1, 21, 36, 54, 7, 26]","[6, 1, 21, 29, 40, 7, 24]","[13, 0, 15, 27, 66, 13, 48]","[5, 0, 23, 42, 44, 5, 21]","[10, 0, 18, 30, 53, 10, 35]","[3, 0, 25, 51, 38, 3, 11]","[5, 2, 21, 41, 44, 7, 21]","[5, 3, 20, 37, 59, 8, 30]","[5, 2, 21, 41, 46, 7, 32]","[7, 4, 17, 21, 41, 11, 39]","[4, 5, 19, 31, 26, 9, 19]","[5, 6, 17, 32, 26, 11, 28]","[7, 2, 19, 36, 36, 9, 27]","[2, 2, 24, 43, 28, 4, 14]","[5, 2, 21, 45, 44, 7, 20]","[13, 1, 14, 20, 58, 14, 47]","[5, 2, 21, 41, 38, 7, 17]","[4, 1, 23, 30, 35, 5, 14]","[8, 1, 19, 47, 35, 9, 26]"
29,"[9, 2, 18, 53, 37, 11, 35]","[7, 1, 21, 57, 36, 8, 26]","[6, 1, 22, 41, 31, 7, 24]","[13, 0, 16, 66, 29, 13, 48]","[5, 0, 24, 44, 44, 5, 21]","[10, 0, 19, 55, 32, 10, 35]","[3, 0, 26, 39, 54, 3, 11]","[5, 3, 21, 44, 41, 8, 21]","[6, 3, 20, 60, 37, 9, 30]","[5, 2, 22, 46, 42, 7, 32]","[8, 4, 17, 43, 21, 12, 39]","[4, 5, 20, 27, 33, 9, 19]","[5, 6, 18, 26, 35, 11, 28]","[7, 2, 20, 38, 40, 9, 27]","[2, 2, 25, 29, 47, 4, 14]","[5, 2, 22, 46, 46, 7, 20]","[13, 1, 15, 62, 21, 14, 47]","[5, 2, 22, 38, 43, 7, 17]","[4, 1, 24, 37, 31, 5, 14]","[8, 1, 20, 35, 48, 9, 26]"
30,"[10, 2, 18, 41, 53, 12, 35]","[7, 1, 22, 37, 60, 8, 26]","[6, 1, 23, 32, 43, 7, 24]","[14, 0, 16, 32, 66, 14, 48]","[5, 0, 25, 44, 47, 5, 21]","[11, 0, 19, 33, 55, 11, 35]","[3, 0, 27, 54, 41, 3, 11]","[5, 3, 22, 41, 47, 8, 21]","[6, 3, 21, 39, 62, 9, 30]","[5, 2, 23, 42, 50, 7, 32]","[8, 4, 18, 22, 44, 12, 39]","[4, 6, 20, 33, 27, 10, 19]","[5, 6, 19, 35, 27, 11, 28]","[7, 2, 21, 43, 39, 9, 27]","[2, 2, 26, 47, 31, 4, 14]","[5, 2, 23, 49, 48, 7, 20]","[13, 1, 16, 23, 64, 14, 47]","[5, 2, 23, 45, 40, 7, 17]","[4, 1, 25, 31, 41, 5, 14]","[8, 1, 21, 51, 36, 9, 26]"
31,"[10, 2, 19, 54, 44, 12, 35]","[7, 1, 23, 63, 43, 8, 26]","[6, 1, 24, 44, 33, 7, 24]","[14, 0, 17, 67, 33, 14, 48]","[6, 0, 25, 49, 44, 6, 21]","[11, 0, 20, 56, 34, 11, 35]","[3, 1, 27, 41, 54, 4, 11]","[5, 3, 23, 47, 42, 8, 21]","[6, 3, 22, 63, 40, 9, 30]","[6, 2, 23, 54, 42, 8, 32]","[9, 4, 18, 47, 22, 13, 39]","[4, 6, 21, 27, 34, 10, 19]","[5, 6, 20, 28, 37, 11, 28]","[7, 2, 22, 39, 44, 9, 27]","[3, 2, 26, 35, 47, 5, 14]","[5, 2, 24, 49, 51, 7, 20]","[13, 2, 16, 64, 23, 15, 47]","[5, 2, 24, 42, 46, 7, 17]","[4, 1, 26, 42, 32, 5, 14]","[8, 1, 22, 39, 52, 9, 26]"
32,"[10, 2, 20, 45, 57, 12, 35]","[7, 1, 24, 44, 65, 8, 26]","[6, 1, 25, 35, 47, 7, 24]","[14, 0, 18, 34, 68, 14, 48]","[6, 0, 26, 44, 50, 6, 21]","[11, 1, 20, 34, 56, 12, 35]","[3, 1, 28, 54, 43, 4, 11]","[5, 3, 24, 42, 49, 8, 21]","[6, 3, 23, 40, 65, 9, 30]","[7, 2, 23, 44, 54, 9, 32]","[9, 4, 19, 25, 48, 13, 39]","[4, 6, 22, 34, 28, 10, 19]","[6, 6, 20, 41, 28, 12, 28]","[7, 2, 23, 44, 43, 9, 27]","[3, 2, 27, 47, 37, 5, 14]","[5, 2, 25, 52, 52, 7, 20]","[13, 2, 17, 23, 66, 15, 47]","[5, 2, 25, 46, 44, 7, 17]","[4, 1, 27, 34, 44, 5, 14]","[8, 1, 23, 53, 40, 9, 26]"
33,"[10, 2, 21, 58, 48, 12, 35]","[7, 1, 25, 66, 45, 8, 26]","[6, 1, 26, 48, 37, 7, 24]","[14, 0, 19, 70, 35, 14, 48]","[7, 0, 26, 52, 44, 7, 21]","[11, 1, 21, 58, 37, 12, 35]","[3, 1, 29, 44, 57, 4, 11]","[5, 3, 25, 52, 44, 8, 21]","[6, 3, 24, 66, 43, 9, 30]","[8, 2, 23, 56, 44, 10, 32]","[10, 4, 19, 51, 25, 14, 39]","[4, 6, 23, 28, 36, 10, 19]","[6, 6, 21, 32, 44, 12, 28]","[7, 3, 23, 43, 44, 10, 27]","[3, 2, 28, 37, 48, 5, 14]","[5, 2, 26, 53, 54, 7, 20]","[14, 2, 17, 68, 23, 16, 47]","[5, 2, 26, 44, 47, 7, 17]","[4, 1, 28, 44, 37, 5, 14]","[8, 1, 24, 42, 56, 9, 26]"
34,"[10, 2, 22, 48, 61, 12, 35]","[7, 2, 25, 45, 66, 9, 26]","[6, 2, 26, 37, 48, 8, 24]","[14, 0, 20, 37, 71, 14, 48]","[7, 0, 27, 46, 53, 7, 21]","[11, 1, 22, 38, 61, 12, 35]","[3, 1, 30, 57, 48, 4, 11]","[5, 3, 26, 46, 56, 8, 21]","[6, 3, 25, 44, 67, 9, 30]","[8, 2, 24, 46, 58, 10, 32]","[11, 4, 19, 27, 51, 15, 39]","[4, 7, 23, 36, 28, 11, 19]","[6, 6, 22, 45, 34, 12, 28]","[7, 3, 24, 44, 45, 10, 27]","[3, 2, 29, 48, 39, 5, 14]","[5, 2, 27, 54, 55, 7, 20]","[14, 2, 18, 26, 69, 16, 47]","[5, 2, 27, 47, 48, 7, 17]","[4, 2, 28, 37, 44, 6, 14]","[8, 1, 25, 57, 44, 9, 26]"
35,"[10, 2, 23, 63, 49, 12, 35]","[7, 2, 26, 68, 47, 9, 26]","[6, 3, 26, 48, 37, 9, 24]","[14, 0, 21, 74, 38, 14, 48]","[7, 0, 28, 54, 49, 7, 21]","[11, 1, 23, 62, 39, 12, 35]","[3, 1, 31, 49, 60, 4, 11]","[5, 3, 27, 58, 48, 8, 21]","[6, 3, 26, 69, 45, 9, 30]","[8, 2, 25, 59, 48, 10, 32]","[11, 5, 19, 51, 27, 16, 39]","[4, 7, 24, 30, 40, 11, 19]","[7, 6, 22, 35, 45, 13, 28]","[7, 3, 25, 45, 45, 10, 27]","[3, 2, 30, 39, 49, 5, 14]","[5, 2, 28, 55, 55, 7, 20]","[15, 2, 18, 70, 26, 17, 47]","[5, 2, 28, 48, 49, 7, 17]","[4, 2, 29, 44, 39, 6, 14]","[8, 1, 26, 44, 60, 9, 26]"
36,"[10, 2, 24, 49, 65, 12, 35]","[7, 2, 27, 47, 72, 9, 26]","[6, 3, 27, 38, 51, 9, 24]","[14, 0, 22, 38, 76, 14, 48]","[7, 0, 29, 51, 55, 7, 21]","[11, 2, 23, 39, 62, 13, 35]","[3, 1, 32, 61, 52, 4, 11]","[5, 3, 28, 48, 59, 8, 21]","[7, 3, 26, 46, 69, 10, 30]","[9, 2, 25, 51, 59, 11, 32]","[11, 5, 20, 27, 53, 16, 39]","[4, 7, 25, 40, 34, 11, 19]","[7, 6, 23, 47, 39, 13, 28]","[7, 3, 26, 45, 47, 10, 27]","[4, 2, 30, 51, 39, 6, 14]","[5, 2, 29, 55, 56, 7, 20]","[15, 2, 19, 26, 71, 17, 47]","[5, 2, 29, 49, 51, 7, 17]","[4, 2, 30, 41, 46, 6, 14]","[8, 1, 27, 62, 46, 9, 26]"
37,"[11, 2, 24, 67, 49, 13, 35]","[8, 2, 27, 73, 47, 10, 26]","[7, 3, 27, 53, 38, 10, 24]","[15, 0, 22, 79, 38, 15, 48]","[7, 0, 30, 55, 56, 7, 21]","[11, 2, 24, 62, 40, 13, 35]","[3, 2, 32, 52, 61, 5, 11]","[6, 3, 28, 60, 48, 9, 21]","[8, 3, 26, 70, 46, 11, 30]","[9, 2, 26, 61, 53, 11, 32]","[11, 5, 21, 54, 29, 16, 39]","[4, 7, 26, 34, 43, 11, 19]","[7, 7, 23, 39, 47, 14, 28]","[7, 3, 27, 49, 47, 10, 27]","[4, 2, 31, 39, 53, 6, 14]","[5, 2, 30, 57, 56, 7, 20]","[15, 2, 20, 77, 27, 17, 47]","[5, 2, 30, 51, 50, 7, 17]","[4, 2, 31, 47, 44, 6, 14]","[8, 2, 27, 46, 62, 10, 26]"
38,"[11, 2, 25, 53, 68, 13, 35]","[8, 2, 28, 48, 74, 10, 26]","[7, 3, 28, 39, 55, 10, 24]","[16, 0, 22, 39, 79, 16, 48]","[7, 0, 31, 56, 57, 7, 21]","[11, 2, 25, 41, 65, 13, 35]","[3, 2, 33, 61, 56, 5, 11]","[6, 3, 29, 49, 62, 9, 21]","[9, 3, 26, 50, 70, 12, 30]","[10, 2, 26, 58, 61, 12, 32]","[11, 6, 21, 29, 54, 17, 39]","[4, 7, 27, 43, 37, 11, 19]","[7, 7, 24, 49, 40, 14, 28]","[8, 3, 27, 48, 49, 11, 27]","[4, 2, 32, 54, 44, 6, 14]","[6, 2, 30, 58, 57, 8, 20]","[15, 2, 21, 34, 78, 17, 47]","[5, 2, 31, 53, 55, 7, 17]","[4, 2, 32, 45, 49, 6, 14]","[8, 2, 28, 64, 47, 10, 26]"
