,Arsenal,Aston Villa,Blackburn,Bolton,Chelsea,Everton,Fulham,Hull,Liverpool,Man City,Man United,Middlesbrough,Newcastle,Portsmouth,Stoke,Sunderland,Tottenham,West Brom,West Ham,Wigan
24,"[10, 3, 11, 22, 38, 13, 38]","[3, 5, 16, 32, 33, 8, 29]","[5, 3, 16, 34, 29, 8, 20]","[2, 3, 19, 24, 30, 5, 13]","[11, 3, 10, 19, 41, 14, 58]","[7, 2, 15, 30, 38, 9, 41]","[6, 1, 17, 19, 33, 7, 29]","[3, 1, 20, 43, 23, 4, 14]","[11, 4, 9, 19, 44, 15, 50]","[10, 0, 14, 23, 53, 10, 30]","[14, 1, 9, 18, 48, 15, 66]","[3, 4, 17, 24, 24, 7, 13]","[2, 2, 20, 37, 32, 4, 13]","[4, 1, 19, 29, 40, 5, 16]","[7, 3, 14, 20, 30, 10, 28]","[5, 2, 17, 29, 26, 7, 19]","[7, 4, 13, 18, 31, 11, 29]","[5, 1, 18, 39, 29, 6, 18]","[3, 2, 19, 28, 31, 5, 22]","[6, 4, 14, 22, 28, 10, 27]"
25,"[10, 3, 12, 39, 24, 13, 38]","[3, 5, 17, 33, 34, 8, 29]","[5, 3, 17, 31, 36, 8, 20]","[3, 3, 19, 31, 24, 6, 13]","[12, 3, 10, 43, 19, 15, 58]","[7, 2, 16, 41, 31, 9, 41]","[6, 2, 17, 33, 19, 8, 29]","[3, 1, 21, 26, 47, 4, 14]","[11, 4, 10, 45, 21, 15, 50]","[10, 0, 15, 53, 25, 10, 30]","[14, 1, 10, 49, 20, 15, 66]","[3, 4, 18, 26, 25, 7, 13]","[2, 2, 21, 33, 39, 4, 13]","[4, 1, 20, 42, 30, 5, 16]","[7, 4, 14, 30, 20, 11, 28]","[5, 2, 18, 26, 34, 7, 19]","[7, 4, 14, 33, 19, 11, 29]","[5, 1, 19, 29, 42, 6, 18]","[3, 2, 20, 32, 29, 5, 22]","[6, 4, 15, 30, 23, 10, 27]"
26,"[10, 3, 13, 24, 42, 13, 38]","[4, 5, 17, 36, 33, 9, 29]","[5, 3, 18, 36, 32, 8, 20]","[3, 3, 20, 27, 32, 6, 13]","[13, 3, 10, 22, 43, 16, 58]","[7, 2, 17, 31, 42, 9, 41]","[6, 3, 17, 19, 33, 9, 29]","[3, 1, 22, 49, 28, 4, 14]","[12, 4, 10, 23, 45, 16, 50]","[10, 0, 16, 27, 55, 10, 30]","[14, 2, 10, 20, 49, 16, 66]","[3, 4, 19, 26, 27, 7, 13]","[2, 3, 21, 39, 33, 5, 13]","[4, 2, 20, 30, 42, 6, 16]","[7, 4, 15, 20, 35, 11, 28]","[5, 2, 19, 36, 27, 7, 19]","[7, 4, 15, 20, 35, 11, 29]","[5, 1, 20, 42, 30, 6, 18]","[4, 2, 20, 30, 32, 6, 22]","[6, 4, 16, 25, 32, 10, 27]"
27,"[10, 3, 14, 44, 25, 13, 38]","[4, 5, 18, 36, 38, 9, 29]","[5, 3, 19, 34, 39, 8, 20]","[3, 3, 21, 36, 28, 6, 13]","[14, 3, 10, 45, 22, 17, 58]","[8, 2, 17, 43, 31, 10, 41]","[6, 4, 17, 33, 19, 10, 29]","[3, 1, 23, 29, 50, 4, 14]","[12, 4, 11, 48, 24, 16, 50]","[10, 0, 17, 56, 28, 10, 30]","[15, 2, 10, 50, 20, 17, 66]","[3, 4, 20, 28, 28, 7, 13]","[2, 4, 21, 33, 39, 6, 13]","[4, 2, 21, 43, 31, 6, 16]","[7, 4, 16, 37, 22, 11, 28]","[5, 2, 20, 27, 37, 7, 19]","[8, 4, 15, 37, 20, 12, 29]","[5, 1, 21, 31, 44, 6, 18]","[4, 3, 20, 32, 30, 7, 22]","[6, 4, 17, 32, 26, 10, 27]"
28,"[10, 3, 15, 26, 45, 13, 38]","[5, 5, 18, 39, 36, 10, 29]","[5, 3, 20, 39, 37, 8, 20]","[3, 3, 22, 30, 40, 6, 13]","[14, 4, 10, 22, 45, 18, 58]","[9, 2, 17, 32, 43, 11, 41]","[6, 5, 17, 19, 33, 11, 29]","[3, 1, 24, 52, 31, 4, 14]","[12, 4, 12, 25, 49, 16, 50]","[10, 0, 18, 29, 58, 10, 30]","[15, 3, 10, 20, 50, 18, 66]","[3, 4, 21, 28, 31, 7, 13]","[3, 4, 21, 42, 33, 7, 13]","[4, 2, 22, 32, 45, 6, 16]","[7, 4, 17, 22, 40, 11, 28]","[5, 2, 21, 41, 28, 7, 19]","[8, 4, 16, 21, 39, 12, 29]","[5, 1, 22, 44, 35, 6, 18]","[4, 3, 21, 31, 33, 7, 22]","[7, 4, 17, 27, 32, 11, 27]"
29,"[10, 3, 16, 47, 28, 13, 38]","[6, 5, 18, 37, 39, 11, 29]","[5, 4, 20, 37, 39, 9, 20]","[3, 3, 23, 40, 33, 6, 13]","[14, 4, 11, 47, 24, 18, 58]","[10, 2, 17, 44, 32, 12, 41]","[6, 5, 18, 34, 22, 11, 29]","[3, 1, 25, 32, 57, 4, 14]","[12, 4, 13, 54, 26, 16, 50]","[10, 0, 19, 60, 31, 10, 30]","[16, 3, 10, 51, 20, 19, 66]","[3, 4, 22, 31, 29, 7, 13]","[3, 4, 22, 34, 44, 7, 13]","[4, 2, 23, 45, 33, 6, 16]","[7, 4, 18, 41, 24, 11, 28]","[5, 2, 22, 28, 44, 7, 19]","[8, 4, 17, 39, 23, 12, 29]","[5, 1, 23, 35, 46, 6, 18]","[4, 3, 22, 37, 32, 7, 22]","[7, 4, 18, 32, 28, 11, 27]"
30,"[10, 3, 17, 31, 48, 13, 38]","[6, 5, 19, 41, 38, 11, 29]","[5, 5, 20, 39, 37, 10, 20]","[3, 3, 24, 33, 41, 6, 13]","[14, 4, 12, 24, 50, 18, 58]","[10, 2, 18, 33, 45, 12, 41]","[6, 5, 19, 22, 35, 11, 29]","[3, 1, 26, 57, 34, 4, 14]","[12, 5, 13, 26, 54, 17, 50]","[10, 0, 20, 31, 61, 10, 30]","[17, 3, 10, 21, 51, 20, 66]","[3, 4, 23, 29, 34, 7, 13]","[3, 4, 23, 44, 37, 7, 13]","[4, 2, 24, 34, 46, 6, 16]","[7, 4, 19, 25, 43, 11, 28]","[5, 2, 23, 45, 29, 7, 19]","[8, 4, 18, 23, 40, 12, 29]","[5, 1, 24, 47, 37, 6, 18]","[4, 3, 23, 34, 39, 7, 22]","[7, 4, 19, 28, 33, 11, 27]"
31,"[10, 3, 18, 49, 32, 13, 38]","[7, 5, 19, 39, 41, 12, 29]","[5, 5, 21, 38, 41, 10, 20]","[3, 3, 25, 43, 35, 6, 13]","[14, 4, 13, 50, 26, 18, 58]","[10, 2, 19, 45, 34, 12, 41]","[6, 6, 19, 35, 22, 12, 29]","[3, 1, 27, 34, 59, 4, 14]","[12, 5, 14, 55, 27, 17, 50]","[10, 0, 21, 61, 33, 10, 30]","[18, 3, 10, 56, 21, 21, 66]","[3, 4, 24, 34, 31, 7, 13]","[3, 4, 24, 38, 46, 7, 13]","[4, 2, 25, 47, 37, 6, 16]","[7, 4, 20, 44, 28, 11, 28]","[5, 2, 24, 30, 46, 7, 19]","[8, 4, 19, 42, 26, 12, 29]","[5, 1, 25, 39, 49, 6, 18]","[4, 4, 23, 39, 34, 8, 22]","[7, 5, 19, 33, 28, 12, 27]"
32,"[10, 4, 18, 32, 49, 14, 38]","[8, 5, 19, 43, 39, 13, 29]","[5, 5, 22, 43, 39, 10, 20]","[3, 3, 26, 35, 46, 6, 13]","[15, 4, 13, 27, 50, 19, 58]","[10, 3, 19, 34, 45, 13, 41]","[6, 6, 20, 22, 38, 12, 29]","[3, 2, 27, 59, 34, 5, 14]","[12, 5, 15, 30, 57, 17, 50]","[10, 0, 22, 34, 62, 10, 30]","[19, 3, 10, 22, 56, 22, 66]","[3, 4, 25, 31, 35, 7, 13]","[3, 4, 25, 49, 40, 7, 13]","[4, 2, 26, 39, 49, 6, 16]","[7, 4, 21, 28, 46, 11, 28]","[5, 3, 24, 46, 30, 8, 19]","[8, 4, 20, 28, 43, 12, 29]","[5, 1, 26, 49, 41, 6, 18]","[4, 4, 24, 35, 41, 8, 22]","[7, 6, 19, 28, 33, 13, 27]"
33,"[10, 4, 19, 52, 33, 14, 38]","[8, 5, 20, 39, 45, 13, 29]","[5, 5, 23, 41, 44, 10, 20]","[3, 3, 27, 46, 37, 6, 13]","[16, 4, 13, 51, 27, 20, 58]","[10, 4, 19, 45, 34, 14, 41]","[6, 7, 20, 38, 22, 13, 29]","[4, 2, 27, 35, 59, 6, 14]","[12, 5, 16, 57, 32, 17, 50]","[10, 0, 23, 62, 35, 10, 30]","[19, 3, 11, 58, 23, 22, 66]","[3, 4, 26, 35, 35, 7, 13]","[3, 4, 26, 40, 50, 7, 13]","[4, 2, 27, 50, 40, 6, 16]","[7, 4, 22, 48, 30, 11, 28]","[5, 3, 25, 30, 48, 8, 19]","[8, 4, 21, 44, 29, 12, 29]","[5, 1, 27, 41, 51, 6, 18]","[5, 4, 24, 42, 35, 9, 22]","[7, 6, 20, 34, 30, 13, 27]"
34,"[10, 4, 20, 36, 53, 14, 38]","[8, 5, 21, 45, 44, 13, 29]","[5, 5, 24, 44, 45, 10, 20]","[3, 3, 28, 38, 47, 6, 13]","[16, 4, 14, 27, 52, 20, 58]","[10, 4, 20, 35, 47, 14, 41]","[6, 7, 21, 25, 39, 13, 29]","[4, 2, 28, 59, 36, 6, 14]","[12, 5, 17, 36, 58, 17, 50]","[10, 0, 24, 35, 63, 10, 30]","[19, 3, 12, 23, 60, 22, 66]","[3, 4, 27, 35, 36, 7, 13]","[3, 4, 27, 51, 41, 7, 13]","[4, 3, 27, 40, 50, 7, 16]","[7, 4, 23, 31, 51, 11, 28]","[5, 3, 26, 48, 31, 8, 19]","[8, 4, 22, 31, 45, 12, 29]","[5, 2, 27, 51, 41, 7, 18]","[5, 4, 25, 36, 43, 9, 22]","[7, 6, 21, 32, 35, 13, 27]"
35,"[10, 4, 21, 57, 37, 14, 38]","[8, 5, 22, 46, 48, 13, 29]","[5, 5, 25, 45, 48, 10, 20]","[3, 3, 29, 50, 42, 6, 13]","[17, 4, 14, 54, 27, 21, 58]","[10, 4, 21, 50, 38, 14, 41]","[6, 7, 22, 42, 26, 13, 29]","[4, 2, 29, 37, 62, 6, 14]","[13, 5, 17, 59, 36, 18, 50]","[10, 0, 25, 63, 37, 10, 30]","[19, 3, 13, 62, 24, 22, 66]","[3, 4, 28, 37, 39, 7, 13]","[3, 4, 28, 42, 52, 7, 13]","[4, 3, 28, 50, 42, 7, 16]","[8, 4, 23, 53, 31, 12, 28]","[5, 3, 27, 31, 50, 8, 19]","[8, 4, 23, 46, 33, 12, 29]","[5, 2, 28, 43, 53, 7, 18]","[5, 4, 26, 43, 37, 9, 22]","[7, 6, 22, 35, 36, 13, 27]"
36,"[10, 4, 22, 41, 61, 14, 38]","[8, 5, 23, 49, 47, 13, 29]","[5, 5, 26, 48, 46, 10, 20]","[3, 3, 30, 42, 51, 6, 13]","[18, 4, 14, 28, 54, 22, 58]","[10, 5, 21, 38, 50, 15, 41]","[6, 8, 22, 26, 42, 14, 29]","[4, 2, 30, 62, 38, 6, 14]","[13, 5, 18, 39, 60, 18, 50]","[10, 0, 26, 39, 64, 10, 30]","[20, 3, 13, 26, 62, 23, 66]","[3, 4, 29, 39, 39, 7, 13]","[3, 4, 29, 52, 43, 7, 13]","[4, 4, 28, 42, 50, 8, 16]","[8, 4, 24, 31, 54, 12, 28]","[5, 3, 28, 50, 34, 8, 19]","[8, 4, 24, 35, 51, 12, 29]","[5, 2, 29, 55, 47, 7, 18]","[5, 4, 27, 38, 44, 9, 22]","[7, 6, 23, 36, 37, 13, 27]"
37,"[11, 4, 22, 64, 41, 15, 38]","[8, 5, 24, 48, 52, 13, 29]","[5, 5, 27, 47, 51, 10, 20]","[3, 4, 30, 51, 42, 7, 13]","[18, 4, 15, 58, 29, 22, 58]","[11, 5, 21, 52, 38, 16, 41]","[6, 8, 23, 43, 29, 14, 29]","[4, 2, 31, 38, 63, 6, 14]","[14, 5, 18, 63, 39, 19, 50]","[10, 0, 27, 64, 41, 10, 30]","[20, 3, 14, 64, 27, 23, 66]","[3, 4, 30, 40, 42, 7, 13]","[3, 4, 30, 43, 55, 7, 13]","[4, 4, 29, 50, 44, 8, 16]","[8, 4, 25, 56, 32, 12, 28]","[5, 4, 28, 34, 50, 9, 19]","[8, 5, 24, 51, 35, 13, 29]","[5, 2, 30, 47, 56, 7, 18]","[6, 4, 27, 45, 38, 10, 22]","[7, 6, 24, 38, 39, 13, 27]"
38,"[11, 5, 22, 41, 64, 16, 38]","[8, 5, 25, 53, 49, 13, 29]","[5, 5, 28, 51, 49, 10, 20]","[3, 4, 31, 42, 52, 7, 13]","[18, 4, 16, 32, 60, 22, 58]","[12, 5, 21, 40, 52, 17, 41]","[7, 8, 23, 30, 43, 15, 29]","[4, 2, 32, 64, 39, 6, 14]","[15, 5, 18, 41, 63, 20, 50]","[10, 0, 28, 42, 66, 10, 30]","[21, 3, 14, 28, 64, 24, 66]","[3, 4, 31, 43, 42, 7, 13]","[3, 4, 31, 55, 44, 7, 13]","[4, 4, 30, 44, 51, 8, 16]","[8, 4, 26, 33, 60, 12, 28]","[5, 4, 29, 51, 37, 9, 19]","[8, 5, 25, 36, 54, 13, 29]","[5, 3, 30, 56, 47, 8, 18]","[6, 4, 28, 39, 48, 10, 22]","[7, 6, 25, 39, 40, 13, 27]"
