,Arsenal,Bournemouth,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Huddersfield,Leicester,Liverpool,Man City,Man United,Newcastle,Southampton,Stoke,Swansea,Tottenham,Watford,West Brom,West Ham
24,"[9, 1, 14, 31, 58, 10, 35]","[2, 1, 21, 37, 30, 3, 14]","[4, 3, 17, 31, 28, 7, 20]","[6, 2, 16, 22, 24, 8, 28]","[10, 2, 12, 26, 34, 12, 42]","[3, 1, 20, 32, 36, 4, 19]","[5, 2, 17, 26, 36, 7, 24]","[5, 4, 15, 32, 19, 9, 20]","[5, 2, 17, 30, 31, 7, 21]","[9, 3, 12, 23, 55, 12, 43]","[10, 1, 13, 26, 66, 11, 50]","[13, 2, 9, 17, 42, 15, 51]","[7, 1, 16, 19, 27, 8, 25]","[2, 3, 19, 28, 27, 5, 14]","[3, 1, 20, 40, 26, 4, 12]","[5, 3, 16, 26, 21, 8, 19]","[12, 1, 11, 21, 50, 13, 46]","[5, 2, 17, 39, 36, 7, 21]","[4, 3, 17, 34, 26, 7, 22]","[5, 3, 16, 30, 34, 8, 24]"
25,"[9, 1, 15, 59, 34, 10, 35]","[3, 1, 21, 31, 37, 4, 14]","[5, 3, 17, 29, 31, 8, 20]","[7, 2, 16, 25, 22, 9, 28]","[11, 2, 12, 38, 26, 13, 42]","[3, 1, 21, 36, 33, 4, 19]","[5, 2, 18, 38, 28, 7, 24]","[5, 4, 16, 19, 36, 9, 20]","[5, 2, 18, 33, 32, 7, 21]","[9, 3, 13, 59, 24, 12, 43]","[11, 1, 13, 68, 26, 12, 50]","[13, 2, 10, 42, 18, 15, 51]","[7, 1, 17, 28, 23, 8, 25]","[2, 3, 20, 28, 30, 5, 14]","[3, 1, 21, 28, 42, 4, 12]","[5, 3, 17, 21, 28, 8, 19]","[12, 1, 12, 50, 23, 13, 46]","[5, 2, 18, 38, 42, 7, 21]","[4, 3, 18, 26, 35, 7, 22]","[5, 3, 17, 36, 32, 8, 24]"
26,"[10, 1, 15, 35, 59, 11, 35]","[3, 2, 21, 37, 31, 5, 14]","[5, 3, 18, 31, 30, 8, 20]","[7, 2, 17, 24, 26, 9, 28]","[11, 2, 13, 27, 39, 13, 42]","[3, 2, 21, 33, 36, 5, 19]","[5, 2, 19, 29, 42, 7, 24]","[5, 4, 17, 36, 24, 9, 20]","[5, 2, 19, 33, 34, 7, 21]","[10, 3, 13, 27, 59, 13, 43]","[11, 1, 14, 28, 69, 12, 50]","[13, 2, 11, 22, 44, 15, 51]","[7, 1, 18, 25, 30, 8, 25]","[2, 3, 21, 31, 29, 5, 14]","[3, 1, 22, 43, 30, 4, 12]","[5, 3, 18, 28, 22, 8, 19]","[12, 1, 13, 24, 52, 13, 46]","[6, 2, 18, 45, 38, 8, 21]","[4, 3, 19, 36, 27, 7, 22]","[5, 3, 18, 32, 38, 8, 24]"
27,"[10, 1, 16, 60, 36, 11, 35]","[3, 2, 22, 33, 39, 5, 14]","[5, 3, 19, 30, 33, 8, 20]","[7, 2, 18, 26, 25, 9, 28]","[11, 2, 14, 39, 28, 13, 42]","[3, 3, 21, 36, 33, 6, 19]","[5, 2, 20, 43, 30, 7, 24]","[5, 4, 18, 24, 38, 9, 20]","[5, 2, 20, 37, 35, 7, 21]","[10, 3, 14, 64, 28, 13, 43]","[11, 1, 15, 71, 29, 12, 50]","[13, 2, 12, 47, 23, 15, 51]","[7, 1, 19, 31, 28, 8, 25]","[2, 3, 22, 29, 32, 5, 14]","[3, 1, 23, 31, 48, 4, 12]","[5, 3, 19, 23, 30, 8, 19]","[12, 1, 14, 53, 25, 13, 46]","[6, 2, 19, 38, 46, 8, 21]","[4, 3, 20, 27, 37, 7, 22]","[5, 3, 19, 38, 36, 8, 24]"
28,"[10, 2, 16, 36, 60, 12, 35]","[3, 2, 23, 39, 34, 5, 14]","[5, 3, 20, 33, 32, 8, 20]","[7, 3, 18, 25, 26, 10, 28]","[11, 2, 15, 31, 40, 13, 42]","[4, 3, 21, 36, 36, 7, 19]","[6, 2, 20, 31, 43, 8, 24]","[5, 4, 19, 42, 25, 9, 20]","[5, 2, 21, 39, 38, 7, 21]","[11, 3, 14, 32, 64, 14, 43]","[12, 1, 15, 33, 71, 13, 50]","[13, 2, 13, 25, 48, 15, 51]","[7, 1, 20, 28, 32, 8, 25]","[2, 3, 23, 34, 34, 5, 14]","[3, 1, 24, 48, 32, 4, 12]","[5, 3, 20, 31, 26, 8, 19]","[12, 1, 15, 26, 57, 13, 46]","[6, 2, 20, 47, 40, 8, 21]","[4, 4, 20, 37, 27, 8, 22]","[5, 3, 20, 37, 40, 8, 24]"
29,"[10, 2, 17, 63, 38, 12, 35]","[3, 2, 24, 34, 43, 5, 14]","[5, 3, 21, 32, 35, 8, 20]","[7, 3, 19, 28, 27, 10, 28]","[11, 3, 15, 40, 31, 14, 42]","[4, 3, 22, 37, 37, 7, 19]","[6, 3, 20, 43, 31, 9, 24]","[5, 4, 20, 26, 43, 9, 20]","[5, 2, 22, 39, 41, 7, 21]","[11, 3, 15, 67, 35, 14, 43]","[13, 1, 15, 72, 33, 14, 50]","[13, 2, 14, 50, 27, 15, 51]","[7, 1, 21, 35, 30, 8, 25]","[2, 4, 23, 34, 34, 6, 14]","[3, 1, 25, 33, 49, 4, 12]","[5, 3, 21, 26, 36, 8, 19]","[13, 1, 15, 60, 26, 14, 46]","[6, 2, 21, 40, 48, 8, 21]","[4, 4, 21, 28, 40, 8, 22]","[6, 3, 20, 43, 37, 9, 24]"
30,"[10, 2, 18, 39, 64, 12, 35]","[3, 2, 25, 45, 36, 5, 14]","[5, 4, 21, 35, 32, 9, 20]","[7, 4, 19, 27, 28, 11, 28]","[11, 3, 16, 33, 42, 14, 42]","[4, 3, 23, 39, 38, 7, 19]","[6, 3, 21, 32, 45, 9, 24]","[5, 4, 21, 43, 29, 9, 20]","[5, 2, 23, 42, 41, 7, 21]","[11, 3, 16, 37, 68, 14, 43]","[13, 2, 15, 33, 72, 15, 50]","[14, 2, 14, 29, 50, 16, 51]","[8, 1, 21, 31, 35, 9, 25]","[2, 4, 24, 36, 36, 6, 14]","[3, 1, 26, 49, 38, 4, 12]","[5, 3, 22, 38, 27, 8, 19]","[14, 1, 15, 28, 60, 15, 46]","[6, 2, 22, 49, 43, 8, 21]","[4, 4, 22, 41, 30, 8, 22]","[6, 3, 21, 40, 46, 9, 24]"
31,"[10, 2, 19, 65, 41, 12, 35]","[3, 2, 26, 37, 46, 5, 14]","[5, 4, 22, 32, 37, 9, 20]","[7, 4, 20, 28, 28, 11, 28]","[12, 3, 16, 46, 33, 15, 42]","[4, 3, 24, 39, 43, 7, 19]","[6, 3, 22, 45, 36, 9, 24]","[5, 4, 22, 29, 45, 9, 20]","[5, 3, 23, 41, 42, 8, 21]","[11, 3, 17, 68, 38, 14, 43]","[13, 2, 16, 75, 37, 15, 50]","[15, 2, 14, 51, 29, 17, 51]","[8, 1, 22, 36, 34, 9, 25]","[2, 4, 25, 39, 38, 6, 14]","[3, 1, 27, 38, 52, 4, 12]","[5, 3, 23, 28, 39, 8, 19]","[14, 1, 16, 61, 29, 15, 46]","[6, 2, 23, 43, 51, 8, 21]","[4, 4, 23, 31, 42, 8, 22]","[6, 3, 22, 47, 41, 9, 24]"
32,"[10, 2, 20, 42, 68, 12, 35]","[4, 2, 26, 49, 37, 6, 14]","[5, 4, 23, 38, 33, 9, 20]","[7, 4, 21, 29, 29, 11, 28]","[12, 3, 17, 34, 50, 15, 42]","[4, 3, 25, 44, 40, 7, 19]","[6, 3, 23, 37, 50, 9, 24]","[5, 4, 23, 45, 31, 9, 20]","[5, 3, 24, 43, 43, 8, 21]","[12, 3, 17, 41, 68, 15, 43]","[13, 2, 17, 38, 76, 15, 50]","[15, 2, 15, 29, 53, 17, 51]","[8, 1, 23, 35, 37, 9, 25]","[2, 4, 26, 39, 40, 6, 14]","[3, 1, 28, 53, 40, 4, 12]","[5, 3, 24, 40, 29, 8, 19]","[14, 1, 17, 31, 63, 15, 46]","[6, 3, 23, 51, 43, 9, 21]","[4, 4, 24, 42, 34, 8, 22]","[6, 3, 23, 45, 48, 9, 24]"
33,"[10, 2, 21, 68, 43, 12, 35]","[4, 2, 27, 38, 53, 6, 14]","[5, 4, 24, 34, 39, 9, 20]","[7, 4, 22, 29, 30, 11, 28]","[12, 3, 18, 51, 36, 15, 42]","[4, 3, 26, 41, 47, 7, 19]","[6, 3, 24, 50, 38, 9, 24]","[5, 4, 24, 33, 46, 9, 20]","[5, 3, 25, 44, 48, 8, 21]","[13, 3, 17, 70, 41, 16, 43]","[14, 2, 17, 79, 38, 16, 50]","[15, 2, 16, 53, 30, 17, 51]","[8, 1, 24, 39, 37, 9, 25]","[2, 4, 27, 40, 42, 6, 14]","[3, 1, 29, 41, 54, 4, 12]","[5, 3, 25, 30, 44, 8, 19]","[15, 1, 17, 64, 31, 16, 46]","[6, 3, 24, 43, 53, 9, 21]","[4, 4, 25, 34, 45, 8, 22]","[6, 3, 24, 49, 48, 9, 24]"
34,"[10, 2, 22, 44, 70, 12, 35]","[4, 2, 28, 54, 39, 6, 14]","[5, 4, 25, 39, 36, 9, 20]","[8, 4, 22, 33, 29, 12, 28]","[12, 3, 19, 36, 52, 15, 42]","[4, 3, 27, 48, 43, 7, 19]","[6, 3, 25, 39, 52, 9, 24]","[5, 4, 25, 46, 35, 9, 20]","[5, 3, 26, 52, 45, 8, 21]","[13, 3, 18, 42, 72, 16, 43]","[15, 2, 17, 40, 79, 17, 50]","[15, 2, 17, 33, 55, 17, 51]","[8, 1, 25, 37, 41, 9, 25]","[2, 4, 28, 42, 43, 6, 14]","[3, 2, 29, 54, 41, 5, 12]","[5, 4, 25, 44, 30, 9, 19]","[15, 1, 18, 35, 65, 16, 46]","[6, 3, 25, 53, 46, 9, 21]","[4, 4, 26, 45, 35, 8, 22]","[6, 3, 25, 49, 53, 9, 24]"
35,"[10, 2, 23, 71, 46, 12, 35]","[4, 2, 29, 41, 56, 6, 14]","[5, 4, 26, 38, 42, 9, 20]","[8, 4, 23, 31, 34, 12, 28]","[12, 3, 20, 55, 38, 15, 42]","[5, 3, 27, 45, 48, 8, 19]","[6, 3, 26, 54, 40, 9, 24]","[5, 4, 26, 35, 47, 9, 20]","[6, 3, 26, 47, 52, 9, 21]","[13, 3, 19, 74, 43, 16, 43]","[15, 2, 18, 82, 41, 17, 50]","[15, 2, 18, 58, 35, 17, 51]","[8, 1, 26, 43, 38, 9, 25]","[2, 4, 29, 45, 45, 6, 14]","[3, 2, 30, 41, 57, 5, 12]","[5, 4, 26, 30, 46, 9, 19]","[15, 1, 19, 68, 36, 16, 46]","[6, 3, 26, 46, 58, 9, 21]","[4, 4, 27, 36, 47, 8, 22]","[6, 3, 26, 54, 53, 9, 24]"
36,"[10, 2, 24, 47, 73, 12, 35]","[4, 2, 30, 56, 44, 6, 14]","[5, 5, 26, 42, 38, 10, 20]","[8, 4, 24, 36, 32, 12, 28]","[12, 3, 21, 40, 56, 15, 42]","[5, 3, 28, 50, 47, 8, 19]","[6, 3, 27, 41, 55, 9, 24]","[5, 4, 27, 48, 36, 9, 20]","[6, 3, 27, 53, 49, 9, 21]","[13, 4, 19, 43, 74, 17, 43]","[15, 2, 19, 44, 83, 17, 50]","[16, 2, 18, 37, 58, 18, 51]","[8, 1, 27, 38, 44, 9, 25]","[2, 5, 29, 45, 45, 7, 14]","[3, 2, 31, 58, 42, 5, 12]","[5, 4, 27, 47, 31, 9, 19]","[15, 1, 20, 38, 69, 16, 46]","[6, 3, 27, 58, 47, 9, 21]","[5, 4, 27, 48, 36, 9, 22]","[6, 3, 27, 54, 55, 9, 24]"
37,"[10, 2, 25, 74, 50, 12, 35]","[4, 2, 31, 45, 58, 6, 14]","[5, 5, 27, 39, 45, 10, 20]","[8, 4, 25, 33, 37, 12, 28]","[13, 3, 21, 57, 40, 16, 42]","[5, 4, 28, 47, 50, 9, 19]","[7, 3, 27, 57, 41, 10, 24]","[5, 5, 27, 36, 48, 10, 20]","[6, 3, 28, 49, 58, 9, 21]","[13, 4, 20, 76, 45, 17, 43]","[15, 2, 20, 87, 45, 17, 50]","[16, 2, 19, 58, 38, 18, 51]","[8, 1, 28, 45, 40, 9, 25]","[2, 5, 30, 46, 46, 7, 14]","[3, 3, 31, 42, 58, 6, 12]","[5, 4, 28, 31, 52, 9, 19]","[15, 1, 21, 70, 39, 16, 46]","[6, 3, 28, 47, 60, 9, 21]","[6, 4, 27, 37, 48, 10, 22]","[6, 3, 28, 56, 58, 9, 24]"
38,"[11, 2, 25, 51, 74, 13, 35]","[4, 2, 32, 60, 46, 6, 14]","[5, 5, 28, 45, 43, 10, 20]","[8, 4, 26, 37, 38, 12, 28]","[13, 3, 22, 40, 60, 16, 42]","[5, 4, 29, 52, 48, 9, 19]","[7, 3, 28, 42, 60, 10, 24]","[5, 5, 28, 49, 37, 10, 20]","[6, 3, 29, 62, 54, 9, 21]","[13, 4, 21, 45, 77, 17, 43]","[16, 2, 20, 46, 87, 18, 50]","[16, 3, 19, 38, 58, 19, 51]","[8, 1, 29, 40, 46, 9, 25]","[3, 5, 30, 47, 46, 8, 14]","[3, 3, 32, 60, 43, 6, 12]","[5, 4, 29, 52, 32, 9, 19]","[15, 1, 22, 39, 71, 16, 46]","[6, 3, 29, 60, 48, 9, 21]","[6, 4, 28, 48, 39, 10, 22]","[7, 3, 28, 60, 56, 10, 24]"
