,Arsenal,Aston Villa,Birmingham,Blackburn,Bolton,Burnley,Chelsea,Everton,Fulham,Hull,Liverpool,Man City,Man United,Portsmouth,Stoke,Sunderland,Tottenham,West Ham,Wigan,Wolves
24,"[11, 1, 12, 27, 57, 12, 38]","[6, 2, 16, 22, 35, 8, 37]","[5, 4, 15, 19, 25, 9, 25]","[3, 4, 17, 29, 38, 7, 25]","[3, 1, 20, 38, 37, 4, 11]","[3, 0, 21, 40, 34, 3, 9]","[12, 0, 12, 23, 75, 12, 52]","[7, 0, 17, 29, 40, 7, 29]","[7, 2, 15, 23, 33, 9, 26]","[2, 3, 19, 38, 32, 5, 11]","[9, 1, 14, 23, 51, 10, 41]","[7, 1, 16, 27, 48, 8, 27]","[13, 0, 11, 15, 63, 13, 55]","[4, 2, 18, 36, 29, 6, 15]","[6, 3, 15, 24, 30, 9, 30]","[4, 2, 18, 25, 39, 6, 17]","[7, 2, 15, 22, 49, 9, 33]","[5, 2, 17, 35, 34, 7, 18]","[5, 2, 17, 33, 26, 7, 20]","[3, 3, 18, 31, 19, 6, 16]"
25,"[11, 1, 13, 61, 28, 12, 38]","[6, 2, 17, 36, 24, 8, 37]","[5, 4, 16, 27, 21, 9, 25]","[4, 4, 17, 40, 29, 8, 25]","[3, 1, 21, 38, 39, 4, 11]","[3, 0, 22, 37, 43, 3, 9]","[13, 0, 12, 79, 23, 13, 52]","[7, 0, 18, 40, 32, 7, 29]","[7, 2, 16, 34, 24, 9, 26]","[2, 3, 20, 32, 40, 5, 11]","[9, 1, 15, 52, 26, 10, 41]","[7, 2, 16, 48, 27, 9, 27]","[13, 0, 12, 63, 16, 13, 55]","[4, 2, 19, 30, 39, 6, 15]","[6, 3, 16, 31, 26, 9, 30]","[4, 2, 19, 39, 27, 6, 17]","[7, 2, 16, 49, 25, 9, 33]","[5, 2, 18, 36, 37, 7, 18]","[5, 2, 18, 26, 37, 7, 20]","[3, 3, 19, 21, 33, 6, 16]"
26,"[11, 1, 14, 28, 62, 12, 38]","[6, 2, 18, 25, 37, 8, 37]","[6, 4, 16, 22, 27, 10, 25]","[4, 4, 18, 29, 43, 8, 25]","[3, 1, 22, 40, 40, 4, 11]","[3, 0, 23, 46, 42, 3, 9]","[14, 0, 12, 26, 79, 14, 52]","[7, 0, 19, 34, 43, 7, 29]","[7, 2, 17, 24, 35, 9, 26]","[2, 3, 21, 41, 33, 5, 11]","[10, 1, 15, 28, 52, 11, 41]","[7, 2, 17, 29, 50, 9, 27]","[13, 0, 13, 20, 64, 13, 55]","[4, 2, 20, 39, 31, 6, 15]","[6, 4, 16, 26, 31, 10, 30]","[4, 2, 20, 27, 40, 6, 17]","[7, 2, 17, 26, 50, 9, 33]","[5, 2, 19, 40, 39, 7, 18]","[5, 2, 19, 38, 35, 7, 20]","[3, 3, 20, 33, 25, 6, 16]"
27,"[11, 1, 15, 64, 29, 12, 38]","[7, 2, 18, 38, 25, 9, 37]","[6, 4, 17, 30, 24, 10, 25]","[4, 5, 18, 43, 29, 9, 25]","[3, 1, 23, 41, 41, 4, 11]","[3, 0, 24, 42, 48, 3, 9]","[14, 0, 13, 80, 28, 14, 52]","[7, 0, 20, 46, 37, 7, 29]","[7, 2, 18, 36, 25, 9, 26]","[2, 3, 22, 33, 44, 5, 11]","[10, 2, 15, 52, 28, 12, 41]","[7, 2, 18, 53, 32, 9, 27]","[14, 0, 13, 68, 20, 14, 55]","[4, 2, 21, 32, 40, 6, 15]","[6, 4, 17, 31, 28, 10, 30]","[4, 2, 21, 40, 28, 6, 17]","[7, 2, 18, 52, 28, 9, 33]","[5, 2, 20, 39, 41, 7, 18]","[5, 2, 20, 37, 40, 7, 20]","[4, 3, 20, 26, 33, 7, 16]"
28,"[11, 1, 16, 30, 65, 12, 38]","[8, 2, 18, 27, 38, 10, 37]","[6, 4, 18, 25, 31, 10, 25]","[4, 5, 19, 30, 45, 9, 25]","[3, 1, 24, 43, 45, 4, 11]","[3, 0, 25, 48, 44, 3, 9]","[14, 0, 14, 29, 81, 14, 52]","[7, 0, 21, 38, 47, 7, 29]","[7, 2, 19, 26, 38, 9, 26]","[2, 3, 23, 44, 36, 5, 11]","[10, 2, 16, 28, 54, 12, 41]","[7, 2, 19, 32, 56, 9, 27]","[14, 0, 14, 20, 71, 14, 55]","[4, 2, 22, 41, 34, 6, 15]","[6, 4, 18, 28, 32, 10, 30]","[4, 2, 22, 31, 44, 6, 17]","[8, 2, 18, 30, 52, 10, 33]","[5, 2, 21, 42, 42, 7, 18]","[5, 2, 21, 41, 39, 7, 20]","[4, 3, 21, 33, 29, 7, 16]"
29,"[11, 1, 17, 69, 31, 12, 38]","[8, 2, 19, 38, 30, 10, 37]","[7, 4, 18, 32, 25, 11, 25]","[4, 5, 20, 46, 31, 9, 25]","[3, 1, 25, 45, 45, 4, 11]","[3, 0, 26, 44, 50, 3, 9]","[14, 1, 14, 81, 29, 15, 52]","[7, 0, 22, 49, 40, 7, 29]","[7, 2, 20, 40, 29, 9, 26]","[2, 3, 24, 38, 46, 5, 11]","[11, 2, 16, 55, 28, 13, 41]","[8, 2, 19, 59, 32, 10, 27]","[14, 0, 15, 74, 21, 14, 55]","[4, 2, 23, 34, 43, 6, 15]","[6, 4, 19, 32, 30, 10, 30]","[4, 2, 23, 46, 33, 6, 17]","[8, 3, 18, 52, 30, 11, 33]","[5, 2, 22, 42, 44, 7, 18]","[5, 2, 22, 39, 46, 7, 20]","[4, 3, 22, 29, 35, 7, 16]"
30,"[12, 1, 17, 33, 69, 13, 38]","[9, 2, 19, 32, 38, 11, 37]","[7, 4, 19, 25, 35, 11, 25]","[4, 5, 21, 32, 50, 9, 25]","[3, 1, 26, 45, 47, 4, 11]","[3, 0, 27, 50, 47, 3, 9]","[14, 1, 15, 31, 82, 15, 52]","[8, 0, 22, 41, 49, 8, 29]","[7, 2, 21, 29, 42, 9, 26]","[2, 4, 24, 46, 38, 6, 11]","[11, 2, 17, 29, 56, 13, 41]","[8, 2, 20, 32, 61, 10, 27]","[14, 0, 16, 22, 75, 14, 55]","[4, 2, 24, 43, 36, 6, 15]","[6, 5, 19, 30, 32, 11, 30]","[4, 2, 24, 35, 53, 6, 17]","[8, 3, 19, 30, 54, 11, 33]","[5, 3, 22, 44, 42, 8, 18]","[6, 2, 22, 48, 39, 8, 20]","[4, 3, 23, 37, 31, 7, 16]"
31,"[12, 2, 17, 69, 33, 14, 38]","[9, 3, 19, 38, 32, 12, 37]","[7, 4, 20, 35, 27, 11, 25]","[4, 6, 21, 50, 32, 10, 25]","[3, 2, 26, 47, 45, 5, 11]","[3, 0, 28, 47, 51, 3, 9]","[14, 1, 16, 83, 32, 15, 52]","[8, 0, 23, 49, 42, 8, 29]","[7, 2, 22, 42, 31, 9, 26]","[2, 4, 25, 38, 50, 6, 11]","[11, 3, 17, 56, 29, 14, 41]","[8, 2, 21, 62, 34, 10, 27]","[14, 0, 17, 78, 23, 14, 55]","[4, 2, 25, 36, 44, 6, 15]","[6, 5, 20, 33, 31, 11, 30]","[4, 2, 25, 53, 37, 6, 17]","[8, 3, 20, 55, 31, 11, 33]","[5, 3, 23, 43, 45, 8, 18]","[6, 2, 23, 40, 50, 8, 20]","[4, 3, 24, 32, 39, 7, 16]"
32,"[12, 2, 18, 33, 71, 14, 38]","[9, 4, 19, 32, 38, 13, 37]","[7, 4, 21, 28, 37, 11, 25]","[4, 6, 22, 32, 53, 10, 25]","[3, 2, 27, 45, 50, 5, 11]","[3, 0, 29, 51, 50, 3, 9]","[14, 1, 17, 33, 85, 15, 52]","[8, 0, 24, 43, 51, 8, 29]","[7, 3, 22, 31, 42, 10, 26]","[2, 4, 26, 50, 39, 6, 11]","[11, 3, 18, 29, 57, 14, 41]","[8, 2, 22, 35, 63, 10, 27]","[14, 0, 18, 24, 79, 14, 55]","[4, 2, 26, 44, 41, 6, 15]","[6, 5, 21, 33, 34, 11, 30]","[4, 2, 26, 38, 54, 6, 17]","[8, 3, 21, 31, 56, 11, 33]","[5, 3, 24, 46, 45, 8, 18]","[6, 2, 24, 51, 41, 8, 20]","[4, 3, 25, 39, 33, 7, 16]"
33,"[12, 2, 19, 74, 34, 14, 38]","[9, 4, 20, 40, 33, 13, 37]","[7, 4, 22, 39, 29, 11, 25]","[4, 6, 23, 54, 34, 10, 25]","[3, 2, 28, 52, 46, 5, 11]","[3, 0, 30, 52, 56, 3, 9]","[15, 1, 17, 87, 33, 16, 52]","[8, 0, 25, 53, 45, 8, 29]","[7, 4, 22, 42, 31, 11, 26]","[2, 4, 27, 39, 53, 6, 11]","[11, 4, 18, 57, 29, 15, 41]","[8, 2, 23, 67, 37, 10, 27]","[14, 0, 19, 80, 27, 14, 55]","[4, 2, 27, 43, 45, 6, 15]","[6, 5, 22, 35, 34, 11, 30]","[4, 2, 27, 54, 40, 6, 17]","[9, 3, 21, 59, 31, 12, 33]","[5, 3, 25, 45, 49, 8, 18]","[6, 2, 25, 41, 52, 8, 20]","[4, 3, 26, 35, 40, 7, 16]"
34,"[12, 2, 20, 36, 75, 14, 38]","[9, 4, 21, 34, 47, 13, 37]","[7, 4, 23, 30, 42, 11, 25]","[4, 6, 24, 35, 57, 10, 25]","[3, 2, 29, 46, 56, 5, 11]","[3, 0, 31, 57, 55, 3, 9]","[15, 1, 18, 34, 88, 16, 52]","[9, 0, 25, 47, 53, 9, 29]","[7, 4, 23, 31, 45, 11, 26]","[2, 4, 28, 54, 44, 6, 11]","[11, 4, 19, 29, 58, 15, 41]","[8, 2, 24, 38, 68, 10, 27]","[15, 0, 19, 28, 80, 15, 55]","[4, 2, 28, 46, 47, 6, 15]","[7, 5, 22, 35, 35, 12, 30]","[4, 2, 28, 41, 55, 6, 17]","[9, 3, 22, 33, 60, 12, 33]","[5, 3, 26, 50, 49, 8, 18]","[6, 2, 26, 52, 45, 8, 20]","[4, 3, 27, 42, 37, 7, 16]"
35,"[12, 2, 21, 76, 37, 14, 38]","[10, 4, 21, 48, 34, 14, 37]","[7, 4, 24, 43, 32, 11, 25]","[5, 6, 24, 58, 35, 11, 25]","[3, 2, 30, 56, 48, 5, 11]","[3, 0, 32, 55, 58, 3, 9]","[16, 1, 18, 93, 34, 17, 52]","[9, 1, 25, 53, 47, 10, 29]","[7, 4, 24, 45, 33, 11, 26]","[2, 4, 29, 46, 57, 6, 11]","[11, 4, 20, 59, 31, 15, 41]","[8, 2, 25, 70, 39, 10, 27]","[16, 0, 19, 84, 28, 16, 55]","[4, 2, 29, 47, 48, 6, 15]","[7, 6, 22, 35, 35, 13, 30]","[4, 2, 29, 55, 44, 6, 17]","[9, 3, 23, 61, 36, 12, 33]","[5, 3, 27, 49, 52, 8, 18]","[6, 2, 27, 45, 55, 8, 20]","[4, 3, 28, 40, 43, 7, 16]"
36,"[12, 2, 22, 38, 78, 14, 38]","[10, 4, 22, 36, 49, 14, 37]","[7, 4, 25, 33, 48, 11, 25]","[5, 7, 24, 35, 58, 12, 25]","[3, 2, 31, 48, 57, 5, 11]","[3, 0, 33, 62, 56, 3, 9]","[16, 1, 19, 36, 94, 17, 52]","[9, 1, 26, 49, 55, 10, 29]","[7, 5, 24, 33, 45, 12, 26]","[2, 4, 30, 57, 48, 6, 11]","[11, 4, 21, 32, 60, 15, 41]","[8, 2, 26, 45, 71, 10, 27]","[16, 1, 19, 28, 84, 17, 55]","[4, 3, 29, 48, 47, 7, 15]","[7, 6, 23, 35, 42, 13, 30]","[4, 2, 30, 44, 56, 6, 17]","[9, 3, 24, 37, 64, 12, 33]","[5, 3, 28, 54, 51, 8, 18]","[6, 2, 28, 56, 47, 8, 20]","[4, 3, 29, 43, 41, 7, 16]"
37,"[12, 2, 23, 80, 41, 14, 38]","[11, 4, 22, 51, 36, 15, 37]","[7, 4, 26, 48, 34, 11, 25]","[5, 7, 25, 59, 36, 12, 25]","[3, 2, 32, 59, 49, 5, 11]","[3, 0, 34, 57, 64, 3, 9]","[16, 1, 20, 95, 38, 17, 52]","[9, 1, 27, 58, 51, 10, 29]","[7, 5, 25, 46, 35, 12, 26]","[2, 5, 30, 48, 57, 7, 11]","[12, 4, 21, 64, 32, 16, 41]","[8, 3, 26, 71, 45, 11, 27]","[17, 1, 19, 85, 28, 18, 55]","[4, 3, 30, 49, 50, 7, 15]","[8, 6, 23, 43, 35, 14, 30]","[5, 2, 30, 57, 44, 7, 17]","[10, 3, 24, 65, 37, 13, 33]","[5, 3, 29, 51, 57, 8, 18]","[6, 2, 29, 49, 59, 8, 20]","[4, 4, 29, 41, 43, 8, 16]"
38,"[12, 2, 24, 42, 82, 14, 38]","[11, 4, 23, 37, 54, 15, 37]","[7, 4, 27, 35, 50, 11, 25]","[6, 7, 25, 37, 59, 13, 25]","[3, 2, 33, 49, 60, 5, 11]","[3, 0, 35, 65, 59, 3, 9]","[17, 1, 20, 40, 95, 18, 52]","[9, 2, 27, 51, 58, 11, 29]","[7, 5, 26, 35, 50, 12, 26]","[2, 5, 31, 59, 50, 7, 11]","[12, 5, 21, 32, 64, 17, 41]","[8, 3, 27, 46, 72, 11, 27]","[18, 1, 19, 29, 85, 19, 55]","[4, 3, 31, 50, 50, 7, 15]","[8, 6, 24, 35, 47, 14, 30]","[5, 2, 31, 45, 59, 7, 17]","[10, 3, 25, 39, 69, 13, 33]","[5, 3, 30, 59, 54, 8, 18]","[6, 2, 30, 59, 57, 8, 20]","[4, 4, 30, 44, 44, 8, 16]"
