,Arsenal,Aston Villa,Chelsea,Everton,Fulham,Liverpool,Man City,Man United,Newcastle,Norwich,QPR,Reading,Southampton,Stoke,Sunderland,Swansea,Tottenham,West Brom,West Ham,Wigan
24,"[4, 3, 17, 25, 54, 7, 34]","[2, 2, 20, 32, 30, 4, 11]","[7, 3, 14, 23, 47, 10, 36]","[7, 1, 16, 28, 37, 8, 25]","[4, 0, 20, 42, 37, 4, 20]","[8, 3, 13, 25, 42, 11, 38]","[10, 1, 13, 21, 47, 11, 46]","[8, 0, 16, 26, 55, 8, 39]","[4, 0, 20, 37, 32, 4, 14]","[4, 4, 16, 26, 34, 8, 18]","[0, 4, 20, 36, 20, 4, 9]","[1, 4, 19, 40, 30, 5, 7]","[2, 1, 21, 37, 36, 3, 15]","[4, 4, 16, 27, 29, 8, 24]","[5, 4, 15, 25, 23, 9, 25]","[3, 3, 18, 35, 31, 6, 18]","[4, 1, 19, 25, 40, 5, 23]","[4, 1, 19, 34, 36, 5, 20]","[5, 3, 16, 27, 39, 8, 23]","[3, 0, 21, 48, 28, 3, 15]"
25,"[4, 3, 18, 55, 27, 7, 34]","[3, 2, 20, 31, 32, 5, 11]","[7, 3, 15, 48, 25, 10, 36]","[7, 1, 17, 39, 30, 8, 25]","[4, 0, 21, 40, 45, 4, 20]","[8, 4, 13, 42, 25, 12, 38]","[10, 2, 13, 47, 21, 12, 46]","[8, 0, 17, 58, 28, 8, 39]","[4, 0, 21, 32, 39, 4, 14]","[4, 5, 16, 34, 26, 9, 18]","[0, 4, 21, 20, 37, 4, 9]","[1, 4, 20, 32, 43, 5, 7]","[2, 1, 22, 39, 38, 3, 15]","[4, 4, 17, 29, 28, 8, 24]","[5, 4, 16, 24, 27, 9, 25]","[3, 3, 19, 33, 36, 6, 18]","[4, 1, 20, 42, 30, 5, 23]","[4, 1, 20, 40, 36, 5, 20]","[5, 3, 17, 40, 30, 8, 23]","[3, 0, 22, 28, 51, 3, 15]"
26,"[4, 4, 18, 27, 55, 8, 34]","[3, 2, 21, 32, 36, 5, 11]","[7, 3, 16, 26, 51, 10, 36]","[7, 1, 18, 31, 41, 8, 25]","[4, 0, 22, 45, 41, 4, 20]","[8, 4, 14, 26, 44, 12, 38]","[11, 2, 13, 23, 47, 13, 46]","[8, 0, 18, 28, 59, 8, 39]","[4, 0, 22, 40, 34, 4, 14]","[4, 5, 17, 27, 35, 9, 18]","[0, 4, 22, 38, 23, 4, 9]","[1, 4, 21, 43, 33, 5, 7]","[2, 1, 23, 38, 40, 3, 15]","[4, 4, 18, 29, 30, 8, 24]","[5, 4, 17, 30, 25, 9, 25]","[4, 3, 19, 38, 33, 7, 18]","[5, 1, 20, 33, 42, 6, 23]","[4, 1, 21, 37, 43, 5, 20]","[5, 3, 18, 30, 41, 8, 23]","[3, 0, 23, 51, 31, 3, 15]"
27,"[4, 4, 19, 56, 28, 8, 34]","[3, 2, 22, 37, 33, 5, 11]","[7, 3, 17, 54, 27, 10, 36]","[7, 1, 19, 42, 32, 8, 25]","[4, 1, 22, 41, 45, 5, 20]","[8, 4, 15, 47, 28, 12, 38]","[11, 2, 14, 50, 24, 13, 46]","[8, 0, 19, 63, 31, 8, 39]","[4, 0, 23, 35, 42, 4, 14]","[4, 5, 18, 36, 28, 9, 18]","[0, 5, 22, 23, 38, 5, 9]","[1, 4, 22, 33, 44, 5, 7]","[2, 1, 24, 41, 39, 3, 15]","[5, 4, 18, 31, 29, 9, 24]","[5, 4, 18, 26, 32, 9, 25]","[4, 3, 20, 33, 39, 7, 18]","[5, 1, 21, 43, 35, 6, 23]","[4, 1, 22, 43, 39, 5, 20]","[5, 4, 18, 41, 30, 9, 23]","[3, 0, 24, 32, 53, 3, 15]"
28,"[4, 4, 20, 33, 58, 8, 34]","[3, 2, 23, 36, 38, 5, 11]","[8, 3, 17, 28, 54, 11, 36]","[7, 1, 20, 33, 43, 8, 25]","[4, 1, 23, 46, 43, 5, 20]","[8, 4, 16, 29, 50, 12, 38]","[11, 2, 15, 24, 51, 13, 46]","[8, 0, 20, 34, 65, 8, 39]","[4, 0, 24, 45, 39, 4, 14]","[4, 5, 19, 32, 39, 9, 18]","[0, 5, 23, 40, 25, 5, 9]","[1, 4, 23, 44, 36, 5, 7]","[2, 1, 25, 42, 44, 3, 15]","[5, 5, 18, 29, 31, 10, 24]","[5, 4, 19, 33, 29, 9, 25]","[4, 4, 20, 39, 33, 8, 18]","[6, 1, 21, 39, 43, 7, 23]","[4, 1, 23, 41, 44, 5, 20]","[5, 4, 19, 30, 42, 9, 23]","[3, 0, 25, 54, 34, 3, 15]"
29,"[5, 4, 20, 59, 33, 9, 34]","[3, 2, 24, 38, 44, 5, 11]","[8, 3, 18, 56, 29, 11, 36]","[7, 1, 21, 45, 34, 8, 25]","[4, 1, 24, 43, 50, 5, 20]","[9, 4, 16, 53, 29, 13, 38]","[11, 2, 16, 55, 27, 13, 46]","[8, 0, 21, 66, 35, 8, 39]","[4, 0, 25, 42, 52, 4, 14]","[4, 5, 20, 40, 34, 9, 18]","[0, 5, 24, 25, 41, 5, 9]","[1, 4, 24, 36, 45, 5, 7]","[3, 1, 25, 45, 42, 4, 15]","[5, 6, 18, 31, 29, 11, 24]","[6, 4, 19, 30, 33, 10, 25]","[4, 4, 21, 35, 40, 8, 18]","[6, 1, 22, 45, 40, 7, 23]","[4, 1, 24, 44, 43, 5, 20]","[5, 4, 20, 42, 33, 9, 23]","[4, 0, 25, 37, 54, 4, 15]"
30,"[5, 4, 21, 34, 60, 9, 34]","[3, 2, 25, 46, 40, 5, 11]","[9, 3, 18, 33, 56, 12, 36]","[7, 1, 22, 36, 46, 8, 25]","[4, 1, 25, 52, 44, 5, 20]","[9, 4, 17, 30, 55, 13, 38]","[12, 2, 16, 29, 55, 14, 46]","[9, 0, 21, 39, 66, 9, 39]","[4, 1, 25, 52, 42, 5, 14]","[4, 5, 21, 35, 42, 9, 18]","[1, 5, 24, 42, 25, 6, 9]","[1, 4, 25, 46, 39, 5, 7]","[3, 1, 26, 44, 47, 4, 15]","[5, 6, 19, 29, 34, 11, 24]","[6, 4, 20, 33, 33, 10, 25]","[4, 5, 21, 40, 35, 9, 18]","[6, 2, 22, 40, 45, 8, 23]","[4, 1, 25, 45, 47, 5, 20]","[5, 4, 21, 34, 47, 9, 23]","[4, 0, 26, 55, 38, 4, 15]"
31,"[5, 4, 22, 61, 36, 9, 34]","[3, 2, 26, 42, 48, 5, 11]","[9, 3, 19, 58, 35, 12, 36]","[7, 2, 22, 46, 36, 9, 25]","[4, 1, 26, 44, 54, 5, 20]","[9, 4, 18, 57, 32, 13, 38]","[12, 3, 16, 55, 29, 15, 46]","[9, 0, 22, 67, 40, 9, 39]","[4, 1, 26, 44, 53, 5, 14]","[4, 5, 22, 42, 40, 9, 18]","[1, 5, 25, 26, 43, 6, 9]","[1, 4, 26, 41, 47, 5, 7]","[3, 1, 27, 48, 46, 4, 15]","[5, 6, 20, 35, 32, 11, 24]","[6, 4, 21, 36, 35, 10, 25]","[4, 6, 21, 35, 40, 10, 18]","[6, 2, 23, 46, 41, 8, 23]","[4, 1, 26, 48, 47, 5, 20]","[5, 4, 22, 48, 37, 9, 23]","[4, 0, 27, 40, 57, 4, 15]"
32,"[6, 4, 22, 37, 61, 10, 34]","[3, 2, 27, 51, 45, 5, 11]","[9, 3, 20, 37, 61, 12, 36]","[7, 2, 23, 36, 48, 9, 25]","[4, 2, 26, 54, 44, 6, 20]","[9, 4, 19, 34, 59, 13, 38]","[12, 3, 17, 30, 58, 15, 46]","[10, 0, 22, 41, 67, 10, 39]","[4, 1, 27, 54, 46, 5, 14]","[4, 6, 22, 40, 42, 10, 18]","[1, 5, 26, 44, 30, 6, 9]","[1, 4, 27, 48, 43, 5, 7]","[3, 1, 28, 48, 50, 4, 15]","[5, 6, 21, 32, 36, 11, 24]","[6, 4, 22, 36, 38, 10, 25]","[4, 6, 22, 40, 36, 10, 18]","[7, 2, 23, 42, 46, 9, 23]","[5, 1, 26, 49, 48, 6, 20]","[5, 4, 23, 38, 50, 9, 23]","[4, 0, 28, 58, 44, 4, 15]"
33,"[6, 4, 23, 62, 39, 10, 34]","[3, 2, 28, 46, 53, 5, 11]","[9, 3, 21, 61, 39, 12, 36]","[7, 2, 24, 49, 38, 9, 25]","[4, 2, 27, 46, 56, 6, 20]","[10, 4, 19, 63, 34, 14, 38]","[13, 3, 17, 59, 30, 16, 46]","[11, 0, 22, 69, 41, 11, 39]","[4, 1, 28, 46, 55, 5, 14]","[4, 6, 23, 42, 44, 10, 18]","[1, 5, 27, 32, 45, 6, 9]","[1, 4, 28, 44, 51, 5, 7]","[3, 1, 29, 52, 52, 4, 15]","[5, 6, 22, 36, 33, 11, 24]","[6, 4, 23, 39, 38, 10, 25]","[4, 6, 23, 36, 45, 10, 18]","[7, 2, 24, 49, 44, 9, 23]","[5, 1, 27, 48, 50, 6, 20]","[6, 4, 23, 51, 38, 10, 23]","[5, 0, 28, 47, 58, 5, 15]"
34,"[7, 4, 23, 41, 62, 11, 34]","[3, 2, 29, 55, 47, 5, 11]","[9, 3, 22, 40, 63, 12, 36]","[7, 2, 25, 40, 51, 9, 25]","[5, 2, 27, 57, 46, 7, 20]","[10, 4, 20, 35, 66, 14, 38]","[13, 3, 18, 30, 61, 16, 46]","[12, 0, 22, 42, 69, 12, 39]","[4, 1, 29, 56, 48, 5, 14]","[4, 6, 24, 45, 43, 10, 18]","[1, 5, 28, 47, 35, 6, 9]","[1, 4, 29, 51, 45, 5, 7]","[3, 2, 29, 52, 52, 5, 15]","[5, 6, 23, 34, 38, 11, 24]","[6, 4, 24, 39, 42, 10, 25]","[4, 6, 24, 46, 38, 10, 18]","[7, 2, 25, 46, 52, 9, 23]","[5, 2, 27, 50, 48, 7, 20]","[6, 4, 24, 38, 53, 10, 23]","[5, 0, 29, 59, 48, 5, 15]"
35,"[7, 4, 24, 64, 42, 11, 34]","[3, 2, 30, 50, 56, 5, 11]","[10, 3, 22, 66, 40, 13, 36]","[7, 3, 25, 51, 40, 10, 25]","[5, 2, 28, 46, 58, 7, 20]","[10, 4, 21, 68, 36, 14, 38]","[13, 3, 19, 63, 31, 16, 46]","[13, 0, 22, 71, 42, 13, 39]","[4, 1, 30, 48, 60, 5, 14]","[4, 6, 25, 43, 46, 10, 18]","[1, 5, 29, 37, 50, 6, 9]","[1, 4, 30, 46, 55, 5, 7]","[4, 2, 29, 54, 52, 6, 15]","[5, 6, 24, 38, 35, 11, 24]","[6, 4, 25, 43, 41, 10, 25]","[4, 6, 25, 40, 48, 10, 18]","[7, 2, 26, 54, 47, 9, 23]","[5, 2, 28, 49, 53, 7, 20]","[6, 5, 24, 53, 38, 11, 23]","[5, 0, 30, 48, 60, 5, 15]"
36,"[8, 4, 24, 43, 64, 12, 34]","[3, 2, 31, 56, 53, 5, 11]","[10, 3, 23, 42, 68, 13, 36]","[7, 3, 26, 40, 52, 10, 25]","[5, 2, 29, 59, 47, 7, 20]","[10, 5, 21, 36, 68, 15, 38]","[13, 3, 20, 32, 66, 16, 46]","[13, 0, 23, 44, 73, 13, 39]","[4, 1, 31, 61, 49, 5, 14]","[4, 6, 26, 47, 46, 10, 18]","[1, 5, 30, 50, 39, 6, 9]","[1, 4, 31, 56, 48, 5, 7]","[4, 3, 29, 52, 54, 7, 15]","[6, 6, 24, 37, 38, 12, 24]","[7, 4, 25, 44, 43, 11, 25]","[4, 6, 26, 48, 42, 10, 18]","[7, 2, 27, 49, 56, 9, 23]","[6, 2, 28, 56, 49, 8, 20]","[6, 5, 25, 39, 54, 11, 23]","[5, 0, 31, 60, 50, 5, 15]"
37,"[9, 4, 24, 65, 43, 13, 34]","[3, 2, 32, 55, 57, 5, 11]","[11, 3, 23, 69, 42, 14, 36]","[7, 4, 26, 52, 40, 11, 25]","[5, 2, 30, 47, 60, 7, 20]","[11, 5, 21, 74, 36, 16, 38]","[13, 4, 20, 66, 32, 17, 46]","[13, 0, 24, 74, 45, 13, 39]","[4, 2, 31, 49, 61, 6, 14]","[4, 6, 27, 46, 48, 10, 18]","[1, 6, 30, 39, 50, 7, 9]","[1, 4, 32, 52, 58, 5, 7]","[4, 3, 30, 54, 53, 7, 15]","[6, 6, 25, 39, 38, 12, 24]","[7, 4, 26, 44, 50, 11, 25]","[4, 6, 27, 45, 50, 10, 18]","[7, 2, 28, 58, 51, 9, 23]","[6, 2, 29, 49, 57, 8, 20]","[6, 5, 26, 55, 41, 11, 23]","[5, 0, 32, 53, 62, 5, 15]"
38,"[10, 4, 24, 44, 65, 14, 34]","[3, 2, 33, 59, 57, 5, 11]","[11, 3, 24, 44, 70, 14, 36]","[7, 4, 27, 41, 54, 11, 25]","[6, 2, 30, 63, 47, 8, 20]","[11, 5, 22, 39, 75, 16, 38]","[14, 4, 20, 34, 66, 18, 46]","[13, 0, 25, 50, 79, 13, 39]","[4, 2, 32, 63, 50, 6, 14]","[4, 6, 28, 51, 48, 10, 18]","[1, 6, 31, 50, 40, 7, 9]","[1, 4, 33, 60, 56, 5, 7]","[4, 3, 31, 54, 55, 7, 15]","[6, 6, 26, 39, 40, 12, 24]","[7, 4, 27, 50, 45, 11, 25]","[4, 6, 28, 51, 47, 10, 18]","[7, 2, 29, 53, 59, 9, 23]","[6, 2, 30, 57, 53, 8, 20]","[6, 5, 27, 41, 57, 11, 23]","[5, 0, 33, 63, 57, 5, 15]"
