,Arsenal,Aston Villa,Blackburn,Bolton,Chelsea,Everton,Fulham,Liverpool,Man City,Man United,Newcastle,Norwich,QPR,Stoke,Sunderland,Swansea,Tottenham,West Brom,Wigan,Wolves
24,"[7, 2, 15, 35, 49, 9, 33]","[2, 3, 19, 34, 26, 5, 13]","[2, 0, 22, 40, 37, 2, 9]","[2, 1, 21, 48, 33, 3, 7]","[4, 2, 18, 27, 52, 6, 22]","[8, 0, 16, 21, 36, 8, 34]","[5, 2, 17, 32, 39, 7, 27]","[5, 3, 16, 21, 30, 8, 28]","[12, 0, 12, 24, 69, 12, 49]","[13, 0, 11, 24, 60, 13, 60]","[8, 3, 13, 23, 33, 11, 39]","[2, 1, 21, 39, 32, 3, 7]","[6, 1, 17, 38, 27, 7, 19]","[5, 2, 17, 24, 34, 7, 21]","[6, 4, 14, 23, 30, 10, 26]","[6, 3, 15, 25, 38, 9, 32]","[10, 0, 14, 23, 48, 10, 36]","[6, 3, 15, 27, 30, 9, 24]","[4, 3, 17, 33, 26, 7, 18]","[1, 2, 21, 49, 25, 3, 6]"
25,"[7, 2, 16, 51, 36, 9, 33]","[2, 3, 20, 26, 36, 5, 13]","[2, 0, 23, 40, 43, 2, 9]","[2, 1, 22, 34, 50, 3, 7]","[5, 2, 18, 53, 27, 7, 22]","[9, 0, 16, 38, 21, 9, 34]","[5, 3, 17, 39, 32, 8, 27]","[5, 3, 17, 32, 22, 8, 28]","[12, 0, 13, 72, 26, 12, 49]","[14, 0, 11, 61, 24, 14, 60]","[8, 3, 14, 34, 26, 11, 39]","[2, 1, 22, 34, 42, 3, 7]","[6, 1, 18, 30, 40, 7, 19]","[5, 2, 18, 34, 29, 7, 21]","[6, 4, 15, 30, 24, 10, 26]","[6, 4, 15, 38, 25, 10, 32]","[10, 0, 15, 51, 24, 10, 36]","[6, 3, 16, 30, 30, 9, 24]","[4, 3, 18, 27, 36, 7, 18]","[1, 2, 22, 26, 51, 3, 6]"
26,"[8, 2, 16, 40, 51, 10, 33]","[2, 4, 20, 36, 26, 6, 13]","[2, 0, 24, 44, 43, 2, 9]","[2, 1, 23, 50, 37, 3, 7]","[6, 2, 18, 30, 53, 8, 22]","[9, 0, 17, 21, 39, 9, 34]","[5, 3, 18, 33, 40, 8, 27]","[5, 3, 18, 22, 33, 8, 28]","[12, 0, 14, 27, 73, 12, 49]","[15, 0, 11, 25, 61, 15, 60]","[8, 3, 15, 27, 35, 11, 39]","[2, 1, 23, 43, 39, 3, 7]","[6, 1, 19, 41, 32, 7, 19]","[6, 2, 18, 30, 34, 8, 21]","[6, 4, 16, 25, 32, 10, 26]","[6, 4, 16, 27, 42, 10, 32]","[10, 0, 16, 27, 52, 10, 36]","[6, 3, 17, 31, 31, 9, 24]","[4, 3, 19, 38, 28, 7, 18]","[1, 2, 23, 51, 29, 3, 6]"
27,"[8, 2, 17, 51, 41, 10, 33]","[2, 4, 21, 28, 37, 6, 13]","[2, 0, 25, 44, 46, 2, 9]","[2, 1, 24, 37, 52, 3, 7]","[6, 2, 19, 54, 31, 8, 22]","[9, 0, 18, 40, 22, 9, 34]","[5, 3, 19, 40, 35, 8, 27]","[6, 3, 18, 35, 22, 9, 28]","[12, 0, 15, 74, 29, 12, 49]","[16, 0, 11, 63, 25, 16, 60]","[8, 3, 16, 37, 31, 11, 39]","[2, 1, 24, 40, 44, 3, 7]","[6, 1, 20, 32, 42, 7, 19]","[6, 2, 19, 36, 31, 8, 21]","[6, 4, 17, 32, 26, 10, 26]","[6, 5, 16, 42, 27, 11, 32]","[10, 0, 17, 53, 29, 10, 36]","[6, 3, 18, 33, 32, 9, 24]","[4, 3, 20, 30, 39, 7, 18]","[1, 2, 24, 30, 55, 3, 6]"
28,"[8, 2, 18, 43, 52, 10, 33]","[2, 5, 21, 37, 28, 7, 13]","[2, 0, 26, 47, 45, 2, 9]","[2, 1, 25, 54, 38, 3, 7]","[6, 2, 20, 32, 55, 8, 22]","[10, 0, 18, 23, 40, 10, 34]","[5, 3, 20, 36, 41, 8, 27]","[6, 4, 18, 22, 35, 10, 28]","[12, 1, 15, 29, 74, 13, 49]","[17, 0, 11, 30, 63, 17, 60]","[9, 3, 16, 33, 37, 12, 39]","[2, 1, 25, 46, 42, 3, 7]","[6, 1, 21, 43, 33, 7, 19]","[6, 2, 20, 31, 39, 8, 21]","[6, 4, 18, 29, 34, 10, 26]","[6, 5, 17, 27, 43, 11, 32]","[11, 0, 17, 31, 53, 11, 36]","[6, 3, 19, 35, 35, 9, 24]","[4, 3, 21, 39, 35, 7, 18]","[1, 2, 25, 56, 31, 3, 6]"
29,"[8, 2, 19, 53, 45, 10, 33]","[2, 5, 22, 31, 38, 7, 13]","[2, 0, 27, 48, 49, 2, 9]","[2, 1, 26, 40, 55, 3, 7]","[6, 2, 21, 57, 33, 8, 22]","[10, 0, 19, 40, 25, 10, 34]","[5, 3, 21, 42, 37, 8, 27]","[6, 4, 19, 35, 25, 10, 28]","[12, 1, 16, 74, 30, 13, 49]","[17, 0, 12, 63, 33, 17, 60]","[9, 3, 17, 38, 36, 12, 39]","[2, 1, 26, 44, 47, 3, 7]","[6, 1, 22, 33, 44, 7, 19]","[6, 2, 21, 41, 32, 8, 21]","[6, 4, 19, 38, 30, 10, 26]","[7, 5, 17, 45, 27, 12, 32]","[11, 0, 18, 54, 32, 11, 36]","[6, 3, 20, 35, 36, 9, 24]","[4, 3, 22, 37, 41, 7, 18]","[1, 2, 26, 32, 57, 3, 6]"
30,"[8, 2, 20, 47, 56, 10, 33]","[2, 5, 23, 41, 33, 7, 13]","[2, 0, 28, 50, 49, 2, 9]","[2, 1, 27, 55, 43, 3, 7]","[6, 3, 21, 33, 57, 9, 22]","[10, 0, 20, 26, 41, 10, 34]","[5, 3, 22, 38, 45, 8, 27]","[6, 4, 20, 26, 38, 10, 28]","[13, 1, 16, 31, 74, 14, 49]","[17, 0, 13, 35, 64, 17, 60]","[9, 3, 18, 38, 43, 12, 39]","[2, 1, 27, 49, 45, 3, 7]","[6, 1, 23, 44, 34, 7, 19]","[6, 3, 21, 32, 41, 9, 21]","[6, 4, 20, 30, 39, 10, 26]","[7, 5, 18, 27, 47, 12, 32]","[11, 0, 19, 34, 57, 11, 36]","[6, 3, 21, 38, 36, 9, 24]","[4, 3, 23, 42, 40, 7, 18]","[1, 2, 27, 58, 33, 3, 6]"
31,"[8, 3, 20, 56, 47, 11, 33]","[2, 5, 24, 34, 43, 7, 13]","[2, 0, 29, 50, 57, 2, 9]","[2, 1, 28, 43, 57, 3, 7]","[6, 3, 22, 58, 34, 9, 22]","[10, 0, 21, 42, 27, 10, 34]","[5, 3, 23, 45, 41, 8, 27]","[7, 4, 20, 41, 26, 11, 28]","[13, 1, 17, 74, 32, 14, 49]","[17, 0, 14, 67, 38, 17, 60]","[10, 3, 18, 45, 38, 13, 39]","[2, 1, 28, 45, 52, 3, 7]","[6, 1, 24, 36, 46, 7, 19]","[6, 3, 22, 41, 34, 9, 21]","[7, 4, 20, 40, 30, 11, 26]","[7, 5, 19, 49, 28, 12, 32]","[11, 1, 19, 57, 34, 12, 36]","[6, 3, 22, 37, 39, 9, 24]","[4, 3, 24, 41, 45, 7, 18]","[1, 2, 28, 35, 59, 3, 6]"
32,"[8, 3, 21, 49, 57, 11, 33]","[2, 6, 24, 43, 34, 8, 13]","[2, 0, 30, 57, 53, 2, 9]","[2, 1, 29, 57, 46, 3, 7]","[6, 3, 23, 34, 60, 9, 22]","[10, 0, 22, 28, 43, 10, 34]","[6, 3, 23, 42, 45, 9, 27]","[7, 4, 21, 27, 43, 11, 28]","[14, 1, 17, 33, 74, 15, 49]","[17, 0, 15, 40, 68, 17, 60]","[10, 3, 19, 38, 50, 13, 39]","[2, 1, 29, 55, 47, 3, 7]","[6, 1, 25, 48, 39, 7, 19]","[6, 3, 23, 35, 43, 9, 21]","[7, 4, 21, 30, 44, 11, 26]","[7, 5, 20, 28, 51, 12, 32]","[11, 1, 20, 36, 62, 12, 36]","[6, 3, 23, 44, 38, 9, 24]","[4, 3, 25, 47, 42, 7, 18]","[1, 2, 29, 61, 37, 3, 6]"
33,"[8, 3, 22, 59, 50, 11, 33]","[2, 6, 25, 35, 44, 8, 13]","[3, 0, 30, 55, 57, 3, 9]","[2, 1, 30, 46, 59, 3, 7]","[6, 3, 24, 60, 35, 9, 22]","[10, 0, 23, 43, 31, 10, 34]","[6, 3, 24, 45, 43, 9, 27]","[7, 4, 22, 43, 28, 11, 28]","[14, 1, 18, 74, 34, 15, 49]","[17, 0, 16, 71, 41, 17, 60]","[10, 3, 20, 51, 40, 13, 39]","[2, 1, 30, 47, 56, 3, 7]","[6, 1, 26, 40, 50, 7, 19]","[6, 3, 24, 43, 36, 9, 21]","[7, 4, 22, 45, 31, 11, 26]","[8, 5, 20, 53, 28, 13, 32]","[11, 1, 21, 62, 37, 12, 36]","[6, 3, 24, 38, 46, 9, 24]","[4, 3, 26, 43, 48, 7, 18]","[1, 2, 30, 37, 66, 3, 6]"
34,"[9, 3, 22, 51, 59, 12, 33]","[2, 6, 26, 44, 38, 8, 13]","[3, 0, 31, 58, 57, 3, 9]","[2, 1, 31, 62, 48, 3, 7]","[6, 3, 25, 36, 62, 9, 22]","[11, 0, 23, 33, 43, 11, 34]","[6, 3, 25, 43, 46, 9, 27]","[7, 4, 23, 30, 46, 11, 28]","[14, 1, 19, 35, 75, 15, 49]","[18, 0, 16, 46, 71, 18, 60]","[10, 3, 21, 43, 52, 13, 39]","[2, 1, 31, 56, 48, 3, 7]","[6, 1, 27, 51, 43, 7, 19]","[6, 3, 25, 37, 44, 9, 21]","[7, 4, 23, 31, 47, 11, 26]","[9, 5, 20, 31, 53, 14, 32]","[11, 2, 21, 37, 62, 13, 36]","[6, 3, 25, 47, 39, 9, 24]","[4, 3, 27, 50, 44, 7, 18]","[1, 2, 31, 67, 39, 3, 6]"
35,"[9, 3, 23, 60, 53, 12, 33]","[2, 6, 27, 39, 45, 8, 13]","[3, 0, 32, 57, 61, 3, 9]","[2, 1, 32, 48, 64, 3, 7]","[6, 3, 26, 66, 38, 9, 22]","[11, 0, 24, 45, 35, 11, 34]","[7, 3, 25, 49, 43, 10, 27]","[7, 4, 24, 46, 32, 11, 28]","[14, 1, 20, 75, 36, 15, 49]","[19, 0, 16, 73, 46, 19, 60]","[11, 3, 21, 54, 43, 14, 39]","[2, 1, 32, 49, 58, 3, 7]","[6, 1, 28, 43, 53, 7, 19]","[6, 3, 26, 44, 39, 9, 21]","[7, 4, 24, 50, 34, 11, 26]","[9, 5, 21, 54, 34, 14, 32]","[11, 3, 21, 62, 37, 14, 36]","[6, 3, 26, 39, 49, 9, 24]","[4, 3, 28, 45, 52, 7, 18]","[1, 2, 32, 40, 69, 3, 6]"
36,"[10, 3, 23, 56, 60, 13, 33]","[2, 6, 28, 45, 43, 8, 13]","[3, 0, 33, 61, 60, 3, 9]","[2, 1, 33, 66, 49, 3, 7]","[6, 3, 27, 39, 67, 9, 22]","[11, 0, 25, 39, 49, 11, 34]","[7, 3, 26, 43, 53, 10, 27]","[7, 4, 25, 35, 48, 11, 28]","[14, 1, 21, 42, 76, 15, 49]","[19, 0, 17, 46, 74, 19, 60]","[11, 3, 22, 43, 58, 14, 39]","[2, 1, 33, 60, 50, 3, 7]","[6, 1, 29, 53, 44, 7, 19]","[6, 3, 27, 40, 45, 9, 21]","[7, 4, 25, 34, 54, 11, 26]","[9, 5, 22, 34, 57, 14, 32]","[11, 3, 22, 37, 63, 14, 36]","[6, 3, 27, 49, 43, 9, 24]","[4, 3, 29, 54, 46, 7, 18]","[1, 3, 32, 69, 40, 4, 6]"
37,"[10, 3, 24, 61, 57, 13, 33]","[2, 7, 28, 43, 45, 9, 13]","[3, 0, 34, 60, 63, 3, 9]","[2, 1, 34, 51, 68, 3, 7]","[6, 4, 27, 67, 39, 10, 22]","[11, 0, 26, 50, 40, 11, 34]","[8, 3, 26, 54, 43, 11, 27]","[8, 4, 25, 51, 35, 12, 28]","[15, 1, 21, 78, 42, 16, 49]","[19, 0, 18, 74, 47, 19, 60]","[12, 3, 22, 60, 43, 15, 39]","[2, 1, 34, 50, 62, 3, 7]","[6, 1, 30, 45, 59, 7, 19]","[6, 3, 28, 45, 43, 9, 21]","[7, 5, 25, 54, 34, 12, 26]","[9, 5, 23, 58, 35, 14, 32]","[11, 3, 23, 67, 38, 14, 36]","[7, 3, 27, 44, 49, 10, 24]","[4, 3, 30, 47, 56, 7, 18]","[1, 3, 33, 44, 73, 4, 6]"
38,"[10, 3, 25, 60, 63, 13, 33]","[2, 7, 29, 45, 45, 9, 13]","[3, 0, 35, 64, 62, 3, 9]","[2, 1, 35, 70, 53, 3, 7]","[6, 4, 28, 40, 71, 10, 22]","[11, 1, 26, 40, 50, 12, 34]","[8, 3, 27, 43, 56, 11, 27]","[8, 4, 26, 35, 52, 12, 28]","[16, 1, 21, 44, 78, 17, 49]","[20, 0, 18, 48, 74, 20, 60]","[12, 3, 23, 44, 63, 15, 39]","[2, 1, 35, 65, 53, 3, 7]","[6, 1, 31, 61, 48, 7, 19]","[6, 3, 29, 43, 46, 9, 21]","[7, 5, 26, 35, 56, 12, 26]","[9, 5, 24, 35, 60, 14, 32]","[11, 3, 24, 39, 68, 14, 36]","[7, 3, 28, 51, 46, 10, 24]","[5, 3, 30, 57, 47, 8, 18]","[1, 3, 34, 75, 47, 4, 6]"
