,Arsenal,Aston Villa,Cardiff,Chelsea,Crystal Palace,Everton,Fulham,Hull,Liverpool,Man City,Man United,Newcastle,Norwich,Southampton,Stoke,Sunderland,Swansea,Tottenham,West Brom,West Ham
24,"[10, 2, 12, 20, 42, 12, 47]","[3, 4, 17, 35, 24, 7, 17]","[2, 3, 19, 42, 25, 5, 13]","[8, 3, 13, 14, 49, 11, 46]","[6, 1, 17, 29, 25, 7, 32]","[7, 3, 14, 29, 43, 10, 37]","[5, 0, 19, 41, 32, 5, 15]","[6, 2, 16, 28, 26, 8, 26]","[7, 0, 17, 26, 60, 7, 30]","[10, 1, 13, 19, 74, 11, 44]","[5, 1, 18, 31, 37, 6, 35]","[5, 1, 18, 33, 36, 6, 26]","[6, 3, 15, 25, 26, 9, 26]","[8, 1, 15, 28, 34, 9, 41]","[5, 3, 16, 21, 35, 8, 19]","[4, 2, 18, 35, 27, 6, 25]","[7, 1, 16, 30, 37, 8, 22]","[11, 1, 12, 26, 32, 12, 40]","[4, 2, 18, 31, 30, 6, 17]","[6, 5, 13, 26, 29, 11, 30]"
25,"[10, 2, 13, 42, 21, 12, 47]","[3, 4, 18, 26, 37, 7, 17]","[2, 3, 20, 25, 44, 5, 13]","[9, 3, 13, 52, 14, 12, 46]","[7, 1, 17, 26, 29, 8, 32]","[7, 4, 14, 43, 29, 11, 37]","[5, 0, 20, 32, 45, 5, 15]","[6, 2, 17, 27, 32, 8, 26]","[7, 0, 18, 63, 29, 7, 30]","[10, 1, 14, 74, 20, 11, 44]","[5, 1, 19, 39, 33, 6, 35]","[6, 1, 18, 37, 33, 7, 26]","[6, 3, 16, 27, 27, 9, 26]","[8, 1, 16, 34, 30, 9, 41]","[5, 3, 17, 38, 24, 8, 19]","[4, 2, 19, 27, 37, 6, 25]","[7, 1, 17, 39, 31, 8, 22]","[11, 1, 13, 32, 32, 12, 40]","[4, 2, 19, 32, 33, 6, 17]","[6, 5, 14, 30, 29, 11, 30]"
26,"[11, 2, 13, 24, 42, 13, 47]","[3, 4, 19, 40, 28, 7, 17]","[2, 4, 20, 44, 25, 6, 13]","[9, 3, 14, 18, 55, 12, 46]","[7, 1, 18, 29, 27, 8, 32]","[8, 4, 14, 30, 43, 12, 37]","[5, 0, 21, 45, 35, 5, 15]","[6, 2, 18, 32, 29, 8, 26]","[7, 0, 19, 30, 66, 7, 30]","[10, 1, 15, 23, 76, 11, 44]","[5, 1, 20, 35, 41, 6, 35]","[6, 1, 19, 33, 40, 7, 26]","[6, 3, 17, 28, 32, 9, 26]","[8, 1, 17, 31, 37, 9, 41]","[5, 3, 18, 24, 42, 8, 19]","[4, 3, 19, 37, 27, 7, 25]","[7, 1, 18, 31, 42, 8, 22]","[11, 1, 14, 34, 33, 12, 40]","[4, 2, 20, 34, 34, 6, 17]","[6, 5, 15, 29, 31, 11, 30]"
27,"[11, 2, 14, 45, 30, 13, 47]","[3, 4, 20, 28, 42, 7, 17]","[2, 4, 21, 25, 46, 6, 13]","[9, 3, 15, 57, 21, 12, 46]","[7, 1, 19, 28, 31, 8, 32]","[8, 4, 15, 44, 31, 12, 37]","[5, 0, 22, 36, 49, 5, 15]","[6, 2, 19, 30, 33, 8, 26]","[8, 0, 19, 71, 30, 8, 30]","[10, 1, 16, 77, 24, 11, 44]","[6, 1, 20, 44, 35, 7, 35]","[7, 1, 19, 41, 33, 8, 26]","[7, 3, 17, 34, 28, 10, 26]","[8, 1, 18, 38, 32, 9, 41]","[5, 4, 18, 42, 24, 9, 19]","[4, 4, 19, 27, 37, 8, 25]","[7, 1, 19, 43, 32, 8, 22]","[11, 1, 15, 35, 35, 12, 40]","[4, 2, 21, 34, 35, 6, 17]","[6, 5, 16, 32, 33, 11, 30]"
28,"[11, 2, 15, 33, 46, 13, 47]","[3, 4, 21, 43, 30, 7, 17]","[2, 4, 22, 47, 28, 6, 13]","[9, 4, 15, 21, 57, 13, 46]","[8, 1, 19, 32, 28, 9, 32]","[8, 4, 16, 33, 45, 12, 37]","[5, 0, 23, 51, 37, 5, 15]","[6, 2, 20, 34, 31, 8, 26]","[8, 0, 20, 31, 73, 8, 30]","[10, 1, 17, 28, 79, 11, 44]","[6, 1, 21, 38, 46, 7, 35]","[8, 1, 19, 36, 41, 9, 26]","[7, 4, 17, 28, 34, 11, 26]","[9, 1, 18, 35, 38, 10, 41]","[5, 4, 19, 25, 47, 9, 19]","[5, 4, 19, 38, 27, 9, 25]","[7, 1, 20, 32, 44, 8, 22]","[11, 1, 16, 38, 37, 12, 40]","[4, 2, 22, 36, 35, 6, 17]","[6, 5, 17, 34, 35, 11, 30]"
29,"[12, 2, 15, 47, 33, 14, 47]","[4, 4, 21, 31, 43, 8, 17]","[2, 4, 23, 28, 49, 6, 13]","[10, 4, 15, 60, 21, 14, 46]","[8, 1, 20, 28, 33, 9, 32]","[8, 4, 17, 46, 34, 12, 37]","[5, 0, 24, 37, 57, 5, 15]","[6, 2, 21, 31, 36, 8, 26]","[8, 0, 21, 74, 33, 8, 30]","[10, 1, 18, 82, 30, 11, 44]","[7, 1, 21, 47, 38, 8, 35]","[8, 1, 20, 41, 37, 9, 26]","[7, 4, 18, 35, 29, 11, 26]","[9, 1, 19, 39, 37, 10, 41]","[5, 4, 20, 47, 28, 9, 19]","[5, 4, 20, 29, 40, 9, 25]","[7, 1, 21, 45, 33, 8, 22]","[11, 1, 17, 39, 39, 12, 40]","[4, 2, 23, 38, 39, 6, 17]","[6, 5, 18, 36, 36, 11, 30]"
30,"[12, 2, 16, 35, 48, 14, 47]","[4, 4, 22, 45, 33, 8, 17]","[2, 4, 24, 51, 32, 6, 13]","[11, 4, 15, 23, 60, 15, 46]","[8, 1, 21, 33, 30, 9, 32]","[8, 4, 18, 35, 47, 12, 37]","[5, 0, 25, 57, 39, 5, 15]","[6, 2, 22, 36, 32, 8, 26]","[8, 0, 22, 38, 77, 8, 30]","[11, 1, 18, 32, 82, 12, 44]","[7, 1, 22, 39, 50, 8, 35]","[8, 1, 21, 40, 42, 9, 26]","[7, 4, 19, 29, 37, 11, 26]","[9, 1, 20, 39, 41, 10, 41]","[5, 4, 21, 28, 48, 9, 19]","[5, 4, 21, 44, 30, 9, 25]","[7, 1, 22, 33, 47, 8, 22]","[11, 1, 18, 42, 40, 12, 40]","[4, 2, 24, 39, 39, 6, 17]","[7, 5, 18, 38, 36, 12, 30]"
31,"[12, 2, 17, 50, 37, 14, 47]","[4, 4, 23, 34, 47, 8, 17]","[2, 4, 25, 32, 53, 6, 13]","[12, 4, 15, 61, 23, 16, 46]","[8, 1, 22, 30, 35, 9, 32]","[8, 4, 19, 47, 39, 12, 37]","[5, 0, 26, 39, 59, 5, 15]","[6, 2, 23, 32, 37, 8, 26]","[8, 0, 23, 78, 39, 8, 30]","[11, 1, 19, 87, 33, 12, 44]","[7, 1, 23, 51, 41, 8, 35]","[8, 2, 21, 42, 40, 10, 26]","[7, 4, 20, 38, 31, 11, 26]","[10, 1, 20, 44, 39, 11, 41]","[5, 4, 22, 48, 29, 9, 19]","[6, 4, 21, 33, 44, 10, 25]","[7, 1, 23, 47, 35, 8, 22]","[11, 1, 19, 41, 43, 12, 40]","[4, 2, 25, 42, 43, 6, 17]","[7, 6, 18, 36, 38, 13, 30]"
32,"[12, 2, 18, 38, 55, 14, 47]","[4, 5, 23, 47, 34, 9, 17]","[2, 4, 26, 53, 35, 6, 13]","[12, 4, 16, 24, 62, 16, 46]","[8, 1, 23, 36, 31, 9, 32]","[8, 4, 20, 39, 48, 12, 37]","[5, 0, 27, 61, 41, 5, 15]","[7, 2, 23, 39, 32, 9, 26]","[8, 0, 24, 42, 80, 8, 30]","[11, 2, 19, 33, 87, 13, 44]","[7, 2, 23, 41, 51, 9, 35]","[8, 2, 22, 40, 45, 10, 26]","[7, 4, 21, 31, 40, 11, 26]","[11, 1, 20, 40, 44, 12, 41]","[5, 4, 23, 31, 50, 9, 19]","[6, 4, 22, 45, 37, 10, 25]","[7, 1, 24, 36, 48, 8, 22]","[12, 1, 19, 47, 41, 13, 40]","[4, 2, 26, 44, 45, 6, 17]","[8, 6, 18, 40, 36, 14, 30]"
33,"[12, 2, 19, 55, 39, 14, 47]","[4, 5, 24, 34, 48, 9, 17]","[2, 4, 27, 35, 54, 6, 13]","[12, 4, 17, 65, 25, 16, 46]","[8, 2, 23, 31, 36, 10, 32]","[8, 4, 21, 48, 40, 12, 37]","[5, 0, 28, 42, 62, 5, 15]","[8, 2, 23, 36, 39, 10, 26]","[9, 0, 24, 83, 42, 9, 30]","[12, 2, 19, 89, 33, 14, 44]","[8, 2, 23, 53, 41, 10, 35]","[8, 2, 23, 49, 41, 10, 26]","[7, 4, 22, 41, 35, 11, 26]","[11, 1, 21, 45, 43, 12, 41]","[5, 4, 24, 50, 32, 9, 19]","[6, 4, 23, 37, 47, 10, 25]","[7, 1, 25, 51, 40, 8, 22]","[12, 1, 20, 41, 48, 13, 40]","[4, 2, 27, 47, 45, 6, 17]","[8, 6, 19, 36, 41, 14, 30]"
34,"[13, 2, 19, 40, 55, 15, 47]","[4, 5, 25, 49, 38, 9, 17]","[2, 4, 28, 55, 37, 6, 13]","[12, 4, 18, 25, 66, 16, 46]","[8, 2, 24, 36, 32, 10, 32]","[9, 4, 21, 43, 48, 13, 37]","[5, 0, 29, 63, 45, 5, 15]","[8, 2, 24, 40, 38, 10, 26]","[10, 0, 24, 45, 83, 10, 30]","[13, 2, 19, 36, 89, 15, 44]","[9, 2, 23, 44, 53, 11, 35]","[8, 2, 24, 41, 50, 10, 26]","[7, 4, 23, 37, 45, 11, 26]","[12, 1, 21, 44, 45, 13, 41]","[5, 4, 25, 33, 51, 9, 19]","[6, 4, 24, 48, 39, 10, 25]","[7, 1, 26, 42, 54, 8, 22]","[12, 1, 21, 48, 45, 13, 40]","[4, 2, 28, 45, 49, 6, 17]","[8, 6, 20, 42, 39, 14, 30]"
35,"[13, 2, 20, 55, 46, 15, 47]","[4, 5, 26, 38, 50, 9, 17]","[2, 4, 29, 40, 58, 6, 13]","[12, 4, 19, 66, 26, 16, 46]","[9, 2, 24, 35, 36, 11, 32]","[9, 4, 22, 51, 44, 13, 37]","[5, 0, 30, 45, 68, 5, 15]","[8, 2, 25, 38, 41, 10, 26]","[10, 0, 25, 89, 48, 10, 30]","[13, 2, 20, 90, 37, 15, 44]","[10, 2, 23, 55, 44, 12, 35]","[8, 2, 25, 50, 45, 10, 26]","[7, 4, 24, 45, 40, 11, 26]","[12, 1, 22, 47, 47, 13, 41]","[5, 4, 26, 55, 34, 9, 19]","[6, 4, 25, 40, 53, 10, 25]","[7, 1, 27, 56, 44, 8, 22]","[12, 1, 22, 45, 52, 13, 40]","[5, 2, 28, 50, 45, 7, 17]","[8, 6, 21, 41, 43, 14, 30]"
36,"[13, 2, 21, 46, 58, 15, 47]","[4, 5, 27, 51, 42, 9, 17]","[3, 4, 29, 59, 40, 7, 13]","[13, 4, 19, 27, 66, 17, 46]","[9, 2, 25, 39, 37, 11, 32]","[10, 4, 22, 45, 51, 14, 37]","[5, 0, 31, 70, 46, 5, 15]","[8, 2, 26, 43, 40, 10, 26]","[10, 0, 26, 50, 90, 10, 30]","[13, 2, 21, 39, 93, 15, 44]","[11, 2, 23, 48, 55, 13, 35]","[8, 2, 26, 45, 51, 10, 26]","[7, 4, 25, 40, 46, 11, 26]","[12, 1, 23, 48, 51, 13, 41]","[5, 4, 27, 34, 58, 9, 19]","[6, 4, 26, 55, 42, 10, 25]","[7, 1, 28, 44, 57, 8, 22]","[12, 1, 23, 55, 48, 13, 40]","[5, 2, 29, 46, 53, 7, 17]","[8, 6, 22, 44, 44, 14, 30]"
37,"[14, 2, 21, 61, 46, 16, 47]","[4, 5, 28, 42, 55, 9, 17]","[3, 4, 30, 40, 63, 7, 13]","[14, 4, 19, 68, 27, 18, 46]","[10, 2, 25, 38, 39, 12, 32]","[10, 4, 23, 51, 47, 14, 37]","[5, 0, 32, 47, 73, 5, 15]","[8, 2, 27, 41, 46, 10, 26]","[10, 0, 27, 93, 52, 10, 30]","[14, 2, 21, 95, 39, 16, 44]","[11, 2, 24, 55, 50, 13, 35]","[8, 2, 27, 51, 48, 10, 26]","[7, 4, 26, 46, 44, 11, 26]","[12, 2, 23, 51, 48, 14, 41]","[5, 4, 28, 59, 35, 9, 19]","[6, 4, 27, 44, 56, 10, 25]","[7, 1, 29, 59, 45, 8, 22]","[13, 1, 23, 49, 55, 14, 40]","[5, 2, 30, 53, 47, 7, 17]","[8, 6, 23, 44, 45, 14, 30]"
38,"[15, 2, 21, 48, 61, 17, 47]","[4, 5, 29, 55, 45, 9, 17]","[3, 4, 31, 63, 43, 7, 13]","[14, 4, 20, 29, 69, 18, 46]","[10, 2, 26, 41, 40, 12, 32]","[11, 4, 23, 49, 51, 15, 37]","[5, 0, 33, 74, 51, 5, 15]","[8, 2, 28, 47, 44, 10, 26]","[10, 0, 28, 55, 96, 10, 30]","[14, 2, 22, 42, 97, 16, 44]","[11, 2, 25, 51, 56, 13, 35]","[8, 2, 28, 49, 53, 10, 26]","[7, 5, 26, 44, 46, 12, 26]","[13, 2, 23, 49, 51, 15, 41]","[5, 4, 29, 37, 60, 9, 19]","[7, 4, 27, 57, 44, 11, 25]","[7, 1, 30, 48, 60, 8, 22]","[13, 1, 24, 55, 51, 14, 40]","[5, 2, 31, 47, 55, 7, 17]","[8, 6, 24, 45, 46, 14, 30]"
