,Arsenal,Aston Villa,Birmingham,Blackburn,Blackpool,Bolton,Chelsea,Everton,Fulham,Liverpool,Man City,Man United,Newcastle,Stoke,Sunderland,Tottenham,West Brom,West Ham,Wigan,Wolves
24,"[7, 3, 14, 23, 37, 10, 33]","[5, 2, 17, 25, 36, 7, 17]","[4, 3, 17, 29, 27, 7, 19]","[5, 2, 17, 22, 28, 7, 18]","[2, 1, 21, 55, 31, 3, 14]","[4, 1, 19, 34, 39, 5, 13]","[12, 1, 11, 22, 44, 13, 41]","[6, 2, 16, 25, 35, 8, 23]","[6, 4, 14, 28, 36, 10, 32]","[10, 1, 13, 19, 43, 11, 40]","[11, 3, 10, 18, 39, 14, 46]","[10, 1, 13, 21, 57, 11, 37]","[3, 2, 19, 33, 47, 5, 21]","[6, 0, 18, 25, 36, 6, 25]","[6, 2, 16, 31, 34, 8, 31]","[2, 3, 19, 23, 37, 5, 16]","[2, 0, 22, 37, 42, 2, 6]","[3, 1, 20, 36, 30, 4, 11]","[3, 2, 19, 40, 26, 5, 15]","[3, 0, 21, 36, 37, 3, 15]"
25,"[8, 3, 14, 39, 23, 11, 33]","[5, 2, 18, 37, 26, 7, 17]","[4, 3, 18, 29, 32, 7, 19]","[5, 2, 18, 30, 23, 7, 18]","[2, 1, 22, 31, 57, 3, 14]","[4, 1, 20, 40, 35, 5, 13]","[12, 1, 12, 44, 24, 13, 41]","[6, 2, 17, 37, 27, 8, 23]","[6, 4, 15, 36, 29, 10, 32]","[10, 1, 14, 44, 20, 11, 40]","[12, 3, 10, 41, 18, 15, 46]","[10, 2, 13, 57, 21, 12, 37]","[4, 2, 19, 48, 33, 6, 21]","[6, 0, 19, 36, 27, 6, 25]","[6, 2, 17, 35, 32, 8, 31]","[2, 3, 20, 39, 27, 5, 16]","[2, 0, 23, 44, 39, 2, 6]","[3, 1, 21, 32, 38, 4, 11]","[3, 2, 20, 26, 42, 5, 15]","[3, 0, 22, 38, 38, 3, 15]"
26,"[8, 3, 15, 25, 40, 11, 33]","[5, 2, 19, 26, 39, 7, 17]","[4, 4, 18, 32, 29, 8, 19]","[5, 2, 19, 25, 34, 7, 18]","[2, 1, 23, 59, 34, 3, 14]","[4, 1, 21, 38, 42, 5, 13]","[12, 1, 13, 24, 45, 13, 41]","[6, 2, 18, 29, 39, 8, 23]","[6, 5, 15, 29, 36, 11, 32]","[10, 1, 15, 20, 46, 11, 40]","[12, 3, 11, 22, 42, 15, 46]","[10, 2, 14, 23, 59, 12, 37]","[4, 2, 20, 34, 53, 6, 21]","[7, 0, 19, 30, 36, 7, 25]","[7, 2, 17, 35, 35, 9, 31]","[2, 3, 21, 30, 41, 5, 16]","[2, 0, 24, 39, 45, 2, 6]","[3, 1, 22, 38, 35, 4, 11]","[3, 2, 21, 43, 29, 5, 15]","[3, 0, 23, 39, 40, 3, 15]"
27,"[8, 3, 16, 44, 27, 11, 33]","[5, 2, 20, 39, 29, 7, 17]","[4, 4, 19, 30, 33, 8, 19]","[5, 2, 20, 35, 32, 7, 18]","[2, 2, 23, 34, 59, 4, 14]","[4, 1, 22, 42, 39, 5, 13]","[12, 1, 14, 46, 25, 13, 41]","[6, 2, 19, 40, 30, 8, 23]","[6, 5, 16, 37, 31, 11, 32]","[10, 1, 16, 47, 22, 11, 40]","[12, 3, 12, 43, 23, 15, 46]","[10, 2, 15, 60, 24, 12, 37]","[4, 2, 21, 54, 37, 6, 21]","[7, 0, 20, 38, 32, 7, 25]","[7, 2, 18, 37, 38, 9, 31]","[2, 3, 22, 42, 31, 5, 16]","[2, 0, 25, 49, 40, 2, 6]","[3, 1, 23, 35, 39, 4, 11]","[3, 3, 21, 29, 43, 6, 15]","[3, 0, 24, 40, 42, 3, 15]"
28,"[8, 3, 17, 27, 45, 11, 33]","[5, 2, 21, 29, 43, 7, 17]","[4, 4, 20, 33, 31, 8, 19]","[5, 2, 21, 33, 37, 7, 18]","[2, 2, 24, 61, 36, 4, 14]","[4, 1, 23, 39, 43, 5, 13]","[12, 1, 15, 26, 47, 13, 41]","[6, 2, 20, 32, 41, 8, 23]","[7, 5, 16, 33, 37, 12, 32]","[10, 1, 17, 23, 50, 11, 40]","[12, 3, 13, 26, 44, 15, 46]","[10, 2, 16, 26, 61, 12, 37]","[4, 2, 22, 37, 56, 6, 21]","[8, 0, 20, 34, 38, 8, 25]","[7, 3, 18, 38, 37, 10, 31]","[2, 3, 23, 33, 43, 5, 16]","[2, 0, 26, 41, 51, 2, 6]","[3, 1, 24, 40, 36, 4, 11]","[3, 3, 22, 45, 30, 6, 15]","[4, 0, 24, 43, 40, 4, 15]"
29,"[8, 3, 18, 47, 29, 11, 33]","[5, 2, 22, 46, 32, 7, 17]","[4, 4, 21, 33, 34, 8, 19]","[5, 2, 22, 40, 34, 7, 18]","[3, 2, 24, 37, 61, 5, 14]","[4, 1, 24, 43, 40, 5, 13]","[12, 1, 16, 48, 29, 13, 41]","[6, 2, 21, 42, 33, 8, 23]","[7, 5, 17, 37, 34, 12, 32]","[10, 1, 18, 51, 26, 11, 40]","[12, 3, 14, 47, 27, 15, 46]","[10, 3, 16, 61, 26, 13, 37]","[5, 2, 22, 57, 37, 7, 21]","[8, 0, 21, 39, 36, 8, 25]","[7, 3, 19, 37, 40, 10, 31]","[2, 3, 24, 44, 35, 5, 16]","[2, 0, 27, 51, 43, 2, 6]","[3, 1, 25, 39, 41, 4, 11]","[3, 3, 23, 31, 46, 6, 15]","[4, 0, 25, 40, 45, 4, 15]"
30,"[9, 3, 18, 32, 47, 12, 33]","[5, 2, 23, 33, 47, 7, 17]","[4, 4, 22, 34, 38, 8, 19]","[5, 2, 23, 34, 43, 7, 18]","[4, 2, 24, 63, 37, 6, 14]","[4, 1, 25, 41, 45, 5, 13]","[12, 1, 17, 29, 49, 13, 41]","[6, 2, 22, 33, 44, 8, 23]","[7, 5, 18, 35, 38, 12, 32]","[10, 1, 19, 27, 53, 11, 40]","[12, 4, 14, 27, 47, 16, 46]","[10, 3, 17, 29, 63, 13, 37]","[5, 2, 23, 38, 58, 7, 21]","[8, 0, 22, 36, 41, 8, 25]","[8, 3, 19, 41, 37, 11, 31]","[2, 3, 25, 36, 45, 5, 16]","[2, 0, 28, 43, 54, 2, 6]","[3, 1, 26, 41, 44, 4, 11]","[3, 3, 24, 46, 34, 6, 15]","[4, 0, 26, 48, 44, 4, 15]"
31,"[10, 3, 18, 50, 32, 13, 33]","[5, 2, 24, 49, 34, 7, 17]","[5, 4, 22, 39, 34, 9, 19]","[5, 2, 24, 43, 36, 7, 18]","[4, 2, 25, 37, 64, 6, 14]","[4, 1, 26, 45, 43, 5, 13]","[13, 1, 17, 53, 29, 14, 41]","[6, 2, 23, 46, 35, 8, 23]","[7, 5, 19, 38, 36, 12, 32]","[11, 1, 19, 56, 27, 12, 40]","[12, 4, 15, 47, 28, 16, 46]","[10, 3, 18, 64, 31, 13, 37]","[5, 2, 24, 58, 39, 7, 21]","[8, 0, 23, 41, 38, 8, 25]","[8, 3, 20, 39, 42, 11, 31]","[3, 3, 25, 46, 36, 6, 16]","[2, 0, 29, 54, 45, 2, 6]","[3, 1, 27, 46, 43, 4, 11]","[3, 3, 25, 36, 48, 6, 15]","[4, 0, 27, 44, 49, 4, 15]"
32,"[10, 3, 19, 36, 54, 13, 33]","[5, 2, 25, 35, 52, 7, 17]","[5, 4, 23, 35, 40, 9, 19]","[5, 2, 25, 39, 47, 7, 18]","[4, 2, 26, 66, 40, 6, 14]","[4, 1, 27, 44, 47, 5, 13]","[13, 1, 18, 33, 55, 14, 41]","[6, 2, 24, 36, 48, 8, 23]","[7, 5, 20, 38, 40, 12, 32]","[12, 1, 19, 28, 56, 13, 40]","[12, 4, 16, 30, 49, 16, 46]","[11, 3, 18, 35, 64, 14, 37]","[5, 3, 24, 39, 58, 8, 21]","[8, 0, 24, 38, 42, 8, 25]","[8, 3, 21, 44, 42, 11, 31]","[3, 3, 26, 38, 47, 6, 16]","[2, 0, 30, 45, 57, 2, 6]","[3, 1, 28, 46, 47, 4, 11]","[3, 3, 26, 49, 37, 6, 15]","[4, 0, 28, 49, 46, 4, 15]"
33,"[10, 3, 20, 56, 38, 13, 33]","[5, 2, 26, 53, 36, 7, 17]","[5, 4, 24, 41, 37, 9, 19]","[5, 2, 26, 48, 43, 7, 18]","[4, 2, 27, 43, 71, 6, 14]","[4, 1, 28, 48, 45, 5, 13]","[13, 2, 18, 55, 33, 15, 41]","[6, 2, 25, 48, 38, 8, 23]","[7, 5, 21, 41, 39, 12, 32]","[12, 1, 20, 57, 31, 13, 40]","[12, 4, 17, 50, 32, 16, 46]","[11, 3, 19, 65, 37, 14, 37]","[6, 3, 24, 60, 39, 9, 21]","[8, 0, 25, 42, 39, 8, 25]","[8, 3, 22, 42, 46, 11, 31]","[3, 3, 27, 48, 41, 6, 16]","[2, 0, 31, 58, 46, 2, 6]","[3, 1, 29, 50, 49, 4, 11]","[3, 3, 27, 37, 50, 6, 15]","[4, 0, 29, 47, 50, 4, 15]"
34,"[10, 3, 21, 41, 57, 13, 33]","[5, 2, 27, 38, 56, 7, 17]","[5, 4, 25, 38, 42, 9, 19]","[5, 2, 27, 45, 51, 7, 18]","[4, 2, 28, 71, 47, 6, 14]","[4, 1, 29, 45, 49, 5, 13]","[13, 2, 19, 36, 56, 15, 41]","[6, 2, 26, 40, 49, 8, 23]","[7, 5, 22, 40, 43, 12, 32]","[13, 1, 20, 33, 57, 14, 40]","[12, 4, 18, 32, 52, 16, 46]","[11, 3, 20, 38, 68, 14, 37]","[6, 3, 25, 39, 64, 9, 21]","[8, 0, 26, 39, 45, 8, 25]","[8, 4, 22, 46, 42, 12, 31]","[3, 3, 28, 44, 51, 6, 16]","[2, 0, 32, 49, 59, 2, 6]","[3, 2, 29, 49, 50, 5, 11]","[3, 3, 28, 50, 38, 6, 15]","[5, 0, 29, 51, 47, 5, 15]"
35,"[10, 3, 22, 60, 44, 13, 33]","[5, 2, 28, 58, 40, 7, 17]","[5, 4, 26, 43, 41, 9, 19]","[5, 3, 27, 51, 45, 8, 18]","[4, 2, 29, 49, 73, 6, 14]","[4, 1, 30, 50, 47, 5, 13]","[13, 2, 20, 57, 37, 15, 41]","[7, 2, 26, 52, 40, 9, 23]","[7, 5, 23, 43, 42, 12, 32]","[13, 1, 21, 58, 35, 14, 40]","[12, 4, 19, 52, 35, 16, 46]","[11, 3, 21, 72, 40, 14, 37]","[6, 3, 26, 64, 40, 9, 21]","[8, 0, 27, 47, 42, 8, 25]","[8, 4, 23, 42, 51, 12, 31]","[3, 4, 28, 51, 44, 7, 16]","[2, 0, 33, 62, 51, 2, 6]","[3, 2, 30, 50, 52, 5, 11]","[3, 3, 29, 41, 51, 6, 15]","[5, 0, 30, 48, 55, 5, 15]"
36,"[10, 3, 23, 45, 62, 13, 33]","[5, 2, 29, 42, 59, 7, 17]","[5, 4, 27, 41, 48, 9, 19]","[5, 3, 28, 45, 53, 8, 18]","[4, 2, 30, 73, 52, 6, 14]","[4, 1, 31, 47, 53, 5, 13]","[13, 2, 21, 40, 58, 15, 41]","[7, 2, 27, 40, 53, 9, 23]","[7, 5, 24, 43, 44, 12, 32]","[13, 1, 22, 36, 59, 14, 40]","[13, 4, 19, 36, 52, 17, 46]","[11, 4, 21, 40, 72, 15, 37]","[6, 3, 27, 41, 65, 9, 21]","[8, 0, 28, 43, 48, 8, 25]","[8, 4, 24, 51, 44, 12, 31]","[3, 4, 29, 45, 53, 7, 16]","[2, 0, 34, 53, 64, 2, 6]","[3, 2, 31, 52, 53, 5, 11]","[3, 3, 30, 53, 45, 6, 15]","[5, 0, 31, 55, 51, 5, 15]"
37,"[10, 3, 24, 63, 48, 13, 33]","[5, 2, 30, 60, 44, 7, 17]","[5, 4, 28, 49, 43, 9, 19]","[5, 3, 29, 54, 46, 8, 18]","[4, 2, 31, 53, 74, 6, 14]","[4, 1, 32, 53, 48, 5, 13]","[13, 2, 22, 59, 42, 15, 41]","[7, 2, 28, 54, 41, 9, 23]","[8, 5, 24, 47, 43, 13, 32]","[13, 1, 23, 64, 38, 14, 40]","[13, 4, 20, 53, 38, 17, 46]","[11, 4, 22, 72, 41, 15, 37]","[6, 3, 28, 65, 44, 9, 21]","[8, 1, 28, 48, 43, 9, 25]","[8, 4, 25, 46, 52, 12, 31]","[3, 4, 30, 53, 46, 7, 16]","[2, 0, 35, 65, 56, 2, 6]","[3, 2, 32, 54, 54, 5, 11]","[3, 3, 31, 46, 54, 6, 15]","[5, 0, 32, 52, 56, 5, 15]"
38,"[10, 3, 25, 50, 65, 13, 33]","[5, 2, 31, 46, 61, 7, 17]","[5, 4, 29, 44, 51, 9, 19]","[5, 3, 30, 49, 56, 8, 18]","[4, 2, 32, 76, 57, 6, 14]","[4, 1, 33, 51, 57, 5, 13]","[13, 2, 23, 42, 60, 15, 41]","[7, 2, 29, 41, 55, 9, 23]","[9, 5, 24, 45, 47, 14, 32]","[13, 1, 24, 38, 65, 14, 40]","[14, 4, 20, 40, 53, 18, 46]","[11, 4, 23, 42, 73, 15, 37]","[6, 3, 29, 46, 67, 9, 21]","[8, 1, 29, 43, 51, 9, 25]","[9, 4, 25, 55, 46, 13, 31]","[4, 4, 30, 48, 53, 8, 16]","[2, 0, 36, 59, 68, 2, 6]","[3, 2, 33, 56, 57, 5, 11]","[4, 3, 31, 55, 46, 7, 15]","[5, 0, 33, 59, 53, 5, 15]"
