,Arsenal,Aston Villa,Birmingham,Blackburn,Bolton,Chelsea,Derby,Everton,Fulham,Liverpool,Man City,Man United,Middlesbrough,Newcastle,Portsmouth,Reading,Sunderland,Tottenham,West Ham,Wigan
24,"[11, 0, 13, 18, 43, 11, 41]","[5, 1, 18, 30, 40, 6, 25]","[2, 1, 21, 27, 39, 3, 7]","[2, 3, 19, 25, 31, 5, 16]","[6, 3, 15, 23, 30, 9, 28]","[8, 3, 13, 19, 40, 11, 57]","[1, 1, 22, 52, 20, 2, 5]","[6, 1, 17, 27, 39, 7, 36]","[2, 2, 20, 36, 27, 4, 15]","[10, 2, 12, 17, 48, 12, 44]","[6, 2, 16, 26, 38, 8, 25]","[14, 1, 9, 14, 50, 15, 61]","[5, 0, 19, 27, 36, 5, 22]","[4, 2, 18, 35, 32, 6, 18]","[5, 6, 13, 20, 30, 11, 36]","[3, 2, 19, 38, 29, 5, 18]","[5, 0, 19, 30, 31, 5, 19]","[5, 0, 19, 41, 53, 5, 25]","[4, 1, 19, 27, 30, 5, 22]","[7, 2, 15, 21, 30, 9, 30]"
25,"[11, 0, 14, 45, 19, 11, 41]","[6, 1, 18, 43, 30, 7, 25]","[2, 1, 22, 39, 28, 3, 7]","[2, 3, 20, 31, 27, 5, 16]","[6, 3, 16, 31, 24, 9, 28]","[9, 3, 13, 42, 19, 12, 57]","[1, 2, 22, 20, 52, 3, 5]","[7, 1, 17, 41, 27, 8, 36]","[2, 2, 21, 27, 38, 4, 15]","[10, 3, 12, 48, 17, 13, 44]","[6, 3, 16, 38, 26, 9, 25]","[14, 1, 10, 52, 16, 15, 61]","[5, 0, 20, 37, 31, 5, 22]","[4, 2, 19, 33, 36, 6, 18]","[6, 6, 13, 32, 20, 12, 36]","[3, 2, 20, 30, 41, 5, 18]","[5, 0, 20, 32, 33, 5, 19]","[5, 0, 20, 54, 44, 5, 25]","[5, 1, 19, 35, 27, 6, 22]","[7, 2, 16, 32, 24, 9, 30]"
26,"[11, 0, 15, 20, 46, 11, 41]","[7, 1, 18, 34, 43, 8, 25]","[2, 1, 23, 29, 42, 3, 7]","[2, 3, 21, 29, 33, 5, 16]","[6, 3, 17, 24, 35, 9, 28]","[10, 3, 13, 21, 42, 13, 57]","[1, 2, 23, 52, 22, 3, 5]","[7, 1, 18, 28, 42, 8, 36]","[2, 2, 22, 38, 29, 4, 15]","[11, 3, 12, 20, 48, 14, 44]","[6, 3, 17, 27, 39, 9, 25]","[14, 1, 11, 16, 53, 15, 61]","[5, 1, 20, 31, 37, 6, 22]","[4, 2, 20, 37, 36, 6, 18]","[6, 6, 14, 24, 33, 12, 36]","[3, 2, 21, 42, 32, 5, 18]","[5, 0, 21, 33, 33, 5, 19]","[5, 0, 21, 45, 55, 5, 25]","[5, 1, 20, 27, 36, 6, 22]","[7, 2, 17, 24, 36, 9, 30]"
27,"[11, 0, 16, 47, 22, 11, 41]","[7, 1, 19, 44, 35, 8, 25]","[2, 1, 24, 45, 31, 3, 7]","[2, 3, 22, 36, 34, 5, 16]","[6, 3, 18, 37, 28, 9, 28]","[11, 3, 13, 44, 21, 14, 57]","[1, 2, 24, 22, 53, 3, 5]","[7, 2, 18, 42, 28, 9, 36]","[2, 2, 23, 29, 41, 4, 15]","[11, 3, 13, 49, 23, 14, 44]","[6, 3, 18, 40, 29, 9, 25]","[15, 1, 11, 54, 16, 16, 61]","[5, 1, 21, 38, 32, 6, 22]","[5, 2, 20, 37, 37, 7, 18]","[7, 6, 14, 35, 24, 13, 36]","[3, 2, 22, 33, 43, 5, 18]","[5, 0, 22, 34, 40, 5, 19]","[5, 0, 22, 56, 46, 5, 25]","[6, 1, 20, 37, 27, 7, 22]","[7, 2, 18, 36, 26, 9, 30]"
28,"[11, 1, 16, 22, 47, 12, 41]","[7, 1, 20, 39, 48, 8, 25]","[2, 1, 25, 32, 47, 3, 7]","[2, 3, 23, 36, 38, 5, 16]","[6, 3, 19, 28, 39, 9, 28]","[11, 3, 14, 21, 45, 14, 57]","[1, 2, 25, 54, 26, 3, 5]","[8, 2, 18, 30, 42, 10, 36]","[2, 2, 24, 42, 34, 4, 15]","[11, 3, 14, 25, 50, 14, 44]","[6, 3, 19, 30, 41, 9, 25]","[16, 1, 11, 20, 54, 17, 61]","[6, 1, 21, 33, 38, 7, 22]","[5, 2, 21, 37, 38, 7, 18]","[7, 6, 15, 27, 36, 13, 36]","[3, 2, 23, 44, 34, 5, 18]","[5, 0, 23, 40, 36, 5, 19]","[6, 0, 22, 47, 56, 6, 25]","[6, 1, 21, 29, 38, 7, 22]","[7, 2, 19, 27, 40, 9, 30]"
29,"[11, 1, 17, 51, 23, 12, 41]","[7, 1, 21, 50, 40, 8, 25]","[2, 1, 26, 47, 35, 3, 7]","[2, 3, 24, 40, 37, 5, 16]","[6, 3, 20, 40, 31, 9, 28]","[12, 3, 14, 46, 21, 15, 57]","[1, 2, 26, 28, 56, 3, 5]","[8, 2, 19, 43, 32, 10, 36]","[2, 2, 25, 35, 43, 4, 15]","[11, 4, 14, 50, 25, 15, 44]","[7, 3, 19, 43, 30, 10, 25]","[16, 1, 12, 55, 22, 17, 61]","[6, 1, 22, 38, 36, 7, 22]","[5, 2, 22, 39, 39, 7, 18]","[7, 6, 16, 37, 31, 13, 36]","[3, 2, 24, 38, 50, 5, 18]","[5, 0, 24, 37, 42, 5, 19]","[6, 0, 23, 57, 49, 6, 25]","[6, 1, 22, 38, 31, 7, 22]","[7, 2, 20, 41, 28, 9, 30]"
30,"[12, 1, 17, 26, 51, 13, 41]","[7, 1, 22, 42, 52, 8, 25]","[2, 1, 27, 35, 48, 3, 7]","[2, 3, 25, 39, 41, 5, 16]","[6, 4, 20, 31, 40, 10, 28]","[12, 3, 15, 23, 47, 15, 57]","[1, 2, 27, 56, 29, 3, 5]","[9, 2, 19, 34, 43, 11, 36]","[2, 2, 26, 44, 37, 4, 15]","[11, 4, 15, 26, 51, 15, 44]","[7, 3, 20, 30, 44, 10, 25]","[17, 1, 12, 24, 55, 18, 61]","[7, 1, 22, 37, 38, 8, 22]","[5, 2, 23, 39, 45, 7, 18]","[8, 6, 16, 33, 37, 14, 36]","[3, 2, 25, 51, 41, 5, 18]","[5, 0, 25, 42, 38, 5, 19]","[6, 0, 24, 50, 59, 6, 25]","[6, 1, 23, 32, 39, 7, 22]","[7, 2, 21, 29, 42, 9, 30]"
31,"[12, 1, 18, 54, 27, 13, 41]","[7, 1, 23, 53, 44, 8, 25]","[2, 1, 28, 49, 36, 3, 7]","[2, 3, 26, 42, 40, 5, 16]","[7, 4, 20, 42, 31, 11, 28]","[13, 3, 15, 48, 23, 16, 57]","[1, 2, 28, 30, 59, 3, 5]","[9, 2, 20, 45, 35, 11, 36]","[2, 3, 26, 37, 44, 5, 15]","[11, 4, 16, 51, 27, 15, 44]","[7, 3, 21, 45, 31, 10, 25]","[17, 1, 13, 56, 25, 18, 61]","[7, 1, 23, 39, 38, 8, 22]","[5, 2, 24, 45, 42, 7, 18]","[8, 6, 17, 37, 35, 14, 36]","[3, 2, 26, 41, 52, 5, 18]","[5, 0, 26, 38, 44, 5, 19]","[6, 0, 25, 59, 52, 6, 25]","[6, 1, 24, 39, 33, 7, 22]","[8, 2, 21, 43, 29, 10, 30]"
32,"[12, 1, 19, 29, 56, 13, 41]","[7, 1, 24, 46, 54, 8, 25]","[2, 1, 29, 36, 51, 3, 7]","[2, 3, 27, 40, 44, 5, 16]","[7, 4, 21, 32, 46, 11, 28]","[13, 3, 16, 24, 49, 16, 57]","[1, 2, 29, 60, 31, 3, 5]","[9, 3, 20, 35, 45, 12, 36]","[2, 3, 27, 44, 38, 5, 15]","[11, 5, 16, 27, 51, 16, 44]","[7, 3, 22, 33, 46, 10, 25]","[17, 1, 14, 30, 57, 18, 61]","[7, 1, 24, 39, 40, 8, 22]","[5, 2, 25, 43, 49, 7, 18]","[8, 6, 18, 35, 39, 14, 36]","[3, 2, 27, 52, 42, 5, 18]","[5, 0, 27, 44, 41, 5, 19]","[6, 1, 25, 52, 59, 7, 25]","[7, 1, 24, 34, 39, 8, 22]","[8, 2, 22, 29, 44, 10, 30]"
33,"[12, 2, 19, 56, 29, 14, 41]","[7, 1, 25, 55, 47, 8, 25]","[2, 1, 30, 52, 37, 3, 7]","[3, 3, 27, 45, 40, 6, 16]","[7, 4, 22, 46, 33, 11, 28]","[14, 3, 16, 53, 24, 17, 57]","[1, 2, 30, 31, 62, 3, 5]","[10, 3, 20, 47, 35, 13, 36]","[2, 3, 28, 39, 45, 5, 15]","[11, 5, 17, 54, 28, 16, 44]","[7, 3, 23, 46, 35, 10, 25]","[18, 1, 14, 60, 30, 19, 61]","[7, 1, 25, 42, 42, 8, 22]","[5, 2, 26, 49, 46, 7, 18]","[9, 6, 18, 40, 35, 15, 36]","[4, 2, 27, 43, 52, 6, 18]","[5, 0, 28, 41, 45, 5, 19]","[7, 1, 25, 62, 52, 8, 25]","[7, 1, 25, 39, 38, 8, 22]","[8, 2, 23, 44, 31, 10, 30]"
34,"[12, 2, 20, 30, 58, 14, 41]","[7, 1, 26, 47, 57, 8, 25]","[2, 1, 31, 39, 56, 3, 7]","[3, 3, 28, 41, 47, 6, 16]","[7, 4, 23, 33, 48, 11, 28]","[15, 3, 16, 25, 53, 18, 57]","[1, 2, 31, 63, 37, 3, 5]","[11, 3, 20, 36, 47, 14, 36]","[2, 3, 29, 45, 41, 5, 15]","[11, 5, 18, 28, 57, 16, 44]","[7, 4, 23, 35, 46, 11, 25]","[19, 1, 14, 31, 60, 20, 61]","[7, 1, 26, 43, 43, 8, 22]","[5, 2, 27, 47, 50, 7, 18]","[9, 6, 19, 36, 43, 15, 36]","[4, 2, 28, 53, 45, 6, 18]","[5, 1, 28, 45, 41, 6, 19]","[7, 1, 26, 53, 66, 8, 25]","[7, 1, 26, 38, 43, 8, 22]","[8, 3, 23, 31, 44, 11, 30]"
35,"[12, 2, 21, 61, 32, 14, 41]","[7, 1, 27, 57, 51, 8, 25]","[2, 1, 32, 57, 41, 3, 7]","[3, 4, 28, 47, 41, 7, 16]","[7, 4, 24, 48, 37, 11, 28]","[15, 3, 17, 57, 29, 18, 57]","[1, 2, 32, 37, 64, 3, 5]","[11, 3, 21, 47, 37, 14, 36]","[2, 3, 30, 43, 47, 5, 15]","[11, 5, 19, 58, 29, 16, 44]","[7, 4, 24, 47, 38, 11, 25]","[19, 1, 15, 62, 33, 20, 61]","[7, 1, 27, 44, 44, 8, 22]","[5, 2, 28, 54, 48, 7, 18]","[9, 6, 20, 43, 38, 15, 36]","[4, 2, 29, 45, 56, 6, 18]","[6, 1, 28, 42, 45, 7, 19]","[7, 1, 27, 67, 55, 8, 25]","[7, 1, 27, 44, 39, 8, 22]","[8, 3, 24, 45, 34, 11, 30]"
36,"[12, 2, 22, 33, 63, 14, 41]","[8, 1, 27, 57, 57, 9, 25]","[2, 1, 33, 41, 59, 3, 7]","[3, 4, 29, 42, 50, 7, 16]","[8, 4, 24, 38, 48, 12, 28]","[16, 3, 17, 31, 57, 19, 57]","[1, 2, 33, 64, 38, 3, 5]","[11, 3, 22, 37, 48, 14, 36]","[3, 3, 30, 49, 43, 6, 15]","[12, 5, 19, 31, 58, 17, 44]","[7, 4, 25, 40, 48, 11, 25]","[19, 1, 16, 34, 63, 20, 61]","[7, 1, 28, 44, 45, 8, 22]","[5, 3, 28, 48, 54, 8, 18]","[10, 6, 20, 39, 43, 16, 36]","[4, 2, 30, 56, 47, 6, 18]","[6, 1, 29, 48, 43, 7, 19]","[7, 1, 28, 56, 68, 8, 25]","[7, 1, 28, 40, 46, 8, 22]","[8, 3, 25, 34, 47, 11, 30]"
37,"[12, 2, 23, 69, 35, 14, 41]","[8, 1, 28, 59, 59, 9, 25]","[2, 1, 34, 60, 46, 3, 7]","[4, 4, 29, 51, 42, 8, 16]","[8, 4, 25, 49, 39, 12, 28]","[17, 3, 17, 58, 31, 20, 57]","[1, 2, 34, 39, 66, 3, 5]","[11, 3, 23, 49, 38, 14, 36]","[3, 3, 31, 46, 51, 6, 15]","[12, 5, 20, 60, 33, 17, 44]","[7, 4, 26, 48, 41, 11, 25]","[19, 1, 17, 64, 36, 20, 61]","[7, 1, 29, 46, 45, 8, 22]","[5, 3, 29, 56, 50, 8, 18]","[10, 6, 21, 44, 42, 16, 36]","[4, 3, 30, 47, 56, 7, 18]","[6, 1, 30, 43, 50, 7, 19]","[7, 1, 29, 69, 57, 8, 25]","[7, 1, 29, 46, 41, 8, 22]","[8, 3, 26, 48, 35, 11, 30]"
38,"[13, 2, 23, 36, 69, 15, 41]","[8, 1, 29, 61, 61, 9, 25]","[2, 1, 35, 46, 62, 3, 7]","[4, 4, 30, 43, 55, 8, 16]","[8, 4, 26, 40, 50, 12, 28]","[18, 3, 17, 33, 58, 21, 57]","[1, 2, 35, 67, 42, 3, 5]","[11, 3, 24, 38, 50, 14, 36]","[4, 3, 31, 52, 46, 7, 15]","[13, 5, 20, 35, 60, 18, 44]","[7, 4, 27, 42, 56, 11, 25]","[20, 1, 17, 38, 64, 21, 61]","[7, 1, 30, 47, 49, 8, 22]","[5, 3, 30, 51, 59, 8, 18]","[10, 6, 22, 42, 46, 16, 36]","[5, 3, 30, 60, 47, 8, 18]","[6, 1, 31, 50, 45, 7, 19]","[8, 1, 29, 58, 69, 9, 25]","[7, 1, 30, 42, 50, 8, 22]","[9, 3, 26, 37, 48, 12, 30]"
